Title#0,"""Underworks Probe"""
Explanation#0,"""หน้าที่ของท่านคือสำรวจเหมืองแร่ที่ชื่อว่า Underworks<br>ซึ่งตั้งอยู่ในส่วนลึกของ Lilipa<br><br>ท่านมีอิสระในการสำรวจ Underworks<br><br><br><br>----------------------------------------<br>ท่านจะล้มเหลวถ้าแพ้การต่อสู้สุดท้าย"""
Title#1,"""地下坑道探索"""
Explanation#1,"""惑星リリーパの地底に存在する<br>採掘用坑道の調査が目的となる。<br><br>地下坑道を各位、自由に探索せよ。<br><br><br><br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""ไปยังพื้นที่สุดท้าย!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
