un_057020_0010#0,"""おや、守護輝士二人。<br>雁首そろえて何やってるんだい？"""
un_057020_0020#0,"""あ、マリアさん。<br>こんにちは。"""
un_057020_0030#0,"""うむ、礼儀正しくて良いことだ。<br>訓練校の礼儀なってないバカどもに<br>見せてやりたいぐらいだね。"""
un_057020_0040#0,"""まあもっとも、アタシやレギアスが<br>教えてるうちは、礼儀なんてもの<br>二の次三の次だろうけどね。はっはっは！"""
un_057020_0050#0,"""マリアさんって総務部司令ですよね？<br>どうして教導部のお手伝いを？"""
un_057020_0060#0,"""ん？<br>そっちの方が面白そうだから。"""
un_057020_0070#0,"""もともとレギアスが総務部司令辞退して<br>アタシに押しつけてきたんだから<br>どう動こうが文句は言わせないさ。"""
un_057020_0080#0,"""えっと、司令なしだと総務部が<br>困ってるんじゃないかなー……って。"""
un_057020_0090#0,"""アタシがいる方が邪魔だろうよ。<br>それに、マトイ。アンタも時々<br>手伝ってやってるんだろう？"""
un_057020_0100#0,"""手伝ってるというか<br>強制というか……"""
un_057020_0110#0,"""任せっぱなしで大丈夫なのか？"""
un_057020_0120#0,"""マトイが迷惑している"""
un_057020_0130#0,"""大丈夫じゃないやつに<br>任せたりはしないよ。"""
un_057020_0140#0,"""そんなはっきり……！<br>ああっ、いやいやっ！<br>そんなことはあんまりないです！"""
un_057020_0150#0,"""ふうん。<br>あんまりないならいいじゃないか。"""
un_057020_0160#0,"""それに、文句なら<br>手伝わせてるサラに言いな。<br>アタシはそんなこと強制してない。"""
un_057020_0170#0,"""出来ると考えてるから<br>あの子に任せてるだけさ。"""
un_057020_0180#0,"""アタシもレギアスも遠からず<br>前線から退く必要がある。<br>司令を辞する時が来る。"""
un_057020_0190#0,"""しかもアタシ達の場合は<br>戦いに身を置くヤツらの集まりだ。<br>いつ居なくなってもおかしくない。"""
un_057020_0200#0,"""そうなった時に、指令系統に<br>混乱が生じないように<br>今のうちから仕事をさせてるんだよ。"""
un_057020_0210#0,"""情報部はどうだか知らんが<br>教導部も、事務処理はゼノ坊と<br>側に居る嬢ちゃんがやってる。"""
un_057020_0220#0,"""ま、言ってしまえば次代への<br>引き継ぎのため、ってことさ。"""
un_057020_0230#0,"""もっともらしいこと言って<br>自分がサボりたいだけでしょ。"""
un_057020_0240#0,"""あ、サラ。"""
un_057020_0250#0,"""おやおや、未来を見据えた<br>総務部司令のありがたい考えを<br>次席は理解していただけないと？"""
un_057020_0260#0,"""あんたたちが引退って<br>どれだけ未来見てんのって話よ。"""
un_057020_0270#0,"""……そう遠くない未来さ。<br>正直、アタシもレギアスも<br>長く前線に居すぎたよ。"""
un_057020_0280#0,"""え……"""
un_057020_0290#0,"""おや、どうしたんだい？<br>寂しそうな顔してるじゃないか。<br>引退して欲しくないのかい？"""
un_057020_0300#0,"""そ、そんなことあるわけないでしょ！<br>引退するならさっさとしちゃって<br>隠居生活送りなさいよ、ばかマリア！"""
un_057020_0310#0,"""ははっ、文句が文句になってないねえ。"""
un_057020_0320#0,"""マリアさん、引退って……"""
un_057020_0330#0,"""ん？<br>ああ、まだまだ未来の話さ。"""
un_057020_0340#0,"""ただ、いい年なのは事実だからね。<br>遠くない未来、アタシやレギアスは<br>アークスから離れるだろうよ。"""
un_057020_0350#0,"""そうなった時のためにも、アークスが盤石で<br>揺るがない体制を作り上げておく。<br>それが、アタシとレギアスの仕事さ。"""
un_057020_0360#0,"""アークスという組織を守る。<br>皆の帰ってくる場所を守る。"""
un_057020_0370#0,"""面倒くさいったらありゃしないが<br>……アルマとの約束だからね。"""
un_057020_0380#0,"""アルマさんとの、約束……"""
un_057020_0390#0,"""っと、つまらない話しちゃったね。<br>こんなの何の糧にもならない。<br>忘れてくれ。"""
un_057020_0400#0,"""んじゃまあ、たまには司令会議に出て<br>ふんぞり返ってやるとするかな。<br>それじゃあね、二人とも。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
