GREET_RANGE#0,"""Hi there!"""
GREET_SHOP_OPEN#0,"""Welcome!"""
GREET_SHOP_DISABLE#0,"""I'm really sorry, but we're closed <br>for a private event today!"""
GREET_SHOP_CLOSE#0,"""Thanks!"""
GREET_RANGE#1,"""こんにちはっ！"""
GREET_SHOP_OPEN#1,"""いらっしゃいませっ！"""
GREET_SHOP_DISABLE#1,"""ごめんなさいっ！<br>今日はね、貸し切りなんだ！"""
GREET_SHOP_CLOSE#1,"""ありがとねっ！"""
00_01#0,"""Option 1"""
00_02#0,"""Option 2"""
TALK_ST#0,"""Talk"""
C_ORDER_ST#0,"""Hear them out"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
