un_020270_0010#0,"""ว่าไง กำลังร่าเริงปนกังวลอยู่รึเปล่า?<br>......เฮ้อ ความชั่วร้ายน่ะจริงๆ <br>แล้วมันคืออะไรกันแน่นะ"""
un_020270_0020#0,"""อ่า โทษที ข้าไม่ได้กะจะถามอะไรยากๆ หรอก<br>ข้าแค่อยากจะพูดอธิบายว่าอะไรคือการกระทำที่<br>ควรเรียกว่าความชั่วร้ายตางหาก"""
un_020270_0030#0,"""ชั่วหากทำร้ายคน? ชั่วหากฆ่าคน?<br>ชั่วหากคุกคามความสงบ? ชั่วหากขัดขวาง?"""
un_020270_0040#0,"""พอจะเห็นภาพแล้วใช่ไหม<br>เส้นแบ่งความถูกต้องกับความชั่วร้าย<br>ขึ้นอยู่กับสถานการณ์ในตอนนั้นต่างหาก"""
un_020270_0050#0,"""ข้าเชื่อว่าความหมายของความชั่วร้าย<br>มีไว้เพื่อระบุการกระทำอะไรบางอย่าง"""
un_020270_0060#0,"""......อ้อ แต่อย่าเข้าใจผิดไปล่ะ<br>พวก D-arkers คือความชั่วร้าย ความชั่วร้าย<br>ในความคิดพื้นฐานของข้าก็คงเหมือนกับทุกคน"""
un_020270_0070#0,"""เพราะมีความชั่วร้ายที่แน่นอน<br>ดังนั้น\u00a0 ARKS จึงมีตัวตนขึ้นมา<br>.....ไม่ว่าจะเป็นเรื่องอะไร ก็ต้องมีถูกมีผิด"""
un_020270_0010#1,"""やぁ、元気に悩んでるかい？<br>……いやはや、悪っていうものは<br>一体何なんだろうねえ。"""
un_020270_0020#1,"""ああ失敬、難しい問いかけではないよ。<br>何をもって悪と言うべきなのかという<br>線引きの話さ。"""
un_020270_0030#1,"""人に害をなしたら悪？\u3000殺したら悪？<br>平和を脅かしたら悪？\u3000邪魔なら悪？"""
un_020270_0040#1,"""なんとも、都合によって<br>悪というもののラインが<br>いじくられているような気がしてね。"""
un_020270_0050#1,"""悪というものは<br>大義名分を掲げるために、都合よく<br>作られるものなんじゃないか、とね。"""
un_020270_0060#1,"""……ああ、勘違いしないでほしい。<br>ダーカーは悪だよ、私の基準でも悪。<br>たぶん、皆の基準でも悪だ。"""
un_020270_0070#1,"""そんな絶対的な悪があったからこそ<br>今のアークスが成り立ってるんだ。<br>……何事も、善し悪しさ。"""
