name_7211#0,"""シャンディー"""
ssn_019050_002_0001#0,"""来てくれて、ありがとうございます。<br>あらためて、自己紹介を。"""
ssn_019050_002_0002#0,"""私は、シャンディー。ハルファで発生する<br>さまざまな特異現象を研究しています。"""
ssn_019050_002_0003#0,"""あなたを呼んだのは、今起きている<br>現象の調査を手伝ってもらいたいと思ってまして。"""
ssn_019050_002_0004#0,"""ハルファは、一年を通じて気温の変化はそれほどないのですが、<br>この時期だけは温度が低下します。"""
ssn_019050_002_0005#0,"""その影響なのか、<br>一部の木が白色化したりといった変化が起きているんです。"""
ssn_019050_002_0006#0,"""この現象についての調査に協力してください。"""
ssn_019050_002_0007#0,"""まずは……そうですね、<br>この時期だけ見られるギャザリング素材の収集をお願いできますか？"""
ssn_019050_002_0008#0,"""協力者には、特別な報酬も用意してありますので。"""
ssn_019050_002_0009#0,"""それでは、よろしくお願いしますね。"""
ssn_019050_002_0010#0,"""来てくれて、ありがとうございます。"""
ssn_019050_002_0011#0,"""今回も、あなたに調査を<br>お願いできればと思っているのですが……。"""
ssn_019050_002_0012#0,"""協力者には、特別な報酬も用意してありますので。"""
ssn_019050_002_0013#0,"""それでは、よろしくお願いしますね。"""
ssn_019050_002_0014#0,"""おかえりなさい。<br>貴重なデータがたくさん集まりました！"""
ssn_019050_002_0015#0,"""これを元にして、気温低下の原因究明と、<br>生態系やエネミーへの影響を調べていきます。"""
ssn_019050_002_0016#0,"""それから、調査の過程でほかの部門の子から声をかけられたので、<br>あなたのことを紹介しておきました。"""
ssn_019050_002_0017#0,"""もしかしたら、なにか依頼があるかもしれません。<br>そのときは、よければ協力してあげてください。"""
ssn_019050_002_0018#0,"""今回は、ありがとうございました。"""
ssn_019050_002_0019#0,"""報酬は、お渡ししているポイントと交換しますので、<br>必要なものがあったら、教えてください。"""
ssn_019050_002_0020#0,"""これからも、よろしくお願いしますね。"""
ssn_019050_002_0021#0,"""気温低下の原因は、鋭意調査中です。"""
ssn_019050_002_0022#0,"""どんな些細なデータでも、<br>提供してもらえると助かります。"""
npc_menu_0001#0,"""タスクを受注"""
npc_menu_0002#0,"""シーズナルポイントとアイテムを交換"""
npc_menu_0003#0,"""シーズナルイベントについて聞く"""
npc_menu_0004#0,"""メニューを閉じる"""
npc_menu_0005#0,"""“シーズナルイベント”について"""
npc_menu_0006#0,"""“シーズナルイベントキャラクター”について"""
npc_menu_0007#0,"""“デイリー／ウィークリータスク”について"""
npc_menu_0008#0,"""“ミスチーフシンボル”について"""
npc_menu_0009#0,"""“シーズナルギャザリング”について"""
npc_menu_0010#0,"""“シーズナルリージョンマグ”について"""
npc_menu_0011#0,"""“シーズンエネミー”について"""
npc_menu_0012#0,"""“ワールドトライアル”について"""
npc_menu_0013#0,"""聞きたいことはない"""
