Window_Titletelop_WeeklyRanking#0,"""アトランダムイベントレコード"""
Window_TwolineGuide_WeeklyRanking#0,"""開催中のアークスレコードやその詳細を確認できます。"""
Window_Title_Main#0,"""アークスレコード詳細"""
Window_Title_RankingList#0,"""レコードリスト"""
Window_Title_ClearInfo#0,"""クリア情報詳細"""
Window_Title_RewardDetail#0,"""報酬詳細"""
RankingList_Headline_Open#0,"""開催中"""
RankingList_Headline_Notice#0,"""開催予定"""
RankingList_Headline_Archive#0,"""開催終了"""
RankingList_Headline_All#0,"""すべて表示"""
RankingList_StartDate#0,"""$(0)開催<br>$(1)"""
RankingList_StartDate_All#0,"""$(0)開催（$(1)）<br>$(2)"""
RankingList_Open_Description#0,"""表示できるレコードがありません。"""
RankingList_Notice_Description#0,"""表示できるレコードがありません。"""
RankingList_Archive_Description#0,"""表示できるレコードがありません。"""
RankingList_Loading#0,"""レコードリスト取得中……"""
Main_Headline_TitleName#0,"""レコード名"""
Main_Headline_Category#0,"""種別"""
Main_Headline_Description#0,"""詳細"""
Main_Headline_Period_Open#0,"""開催期間"""
Main_Headline_Period_Notice#0,"""開催予定"""
Main_Headline_Period_Close#0,"""開催日時"""
Main_Headline_MyRank_Open#0,"""現在のレコード（毎日$(0)に更新）"""
Main_Headline_MyRank_Close#0,"""最終レコード"""
Main_Headline_Reward#0,"""参加報酬"""
Main_Headline_Reward_Description#0,"""最終的な記録に応じて獲得できる報酬が変わります。"""
Main_Headline_TopRank_Open#0,"""現在の上位レコード（最大$(0)人まで表示）"""
Main_Headline_TopRank_Close#0,"""上位レコード（最大$(0)人まで表示）"""
MyRank_Description#0,"""まだアークスレコードに参加していません。<br>対象のコンテンツをプレイすることで参加できます。"""
TopRank_Description#0,"""上位レコード情報はありません。<br>（開催初日以降、毎日$(0)に更新されます。）"""
Reward_ControlGuide#0,"""<%Function>で上位レコードを確認する"""
TopRank_ControlGuide#0,"""<%Function>で参加報酬を確認する"""
TabButton_Class_All#0,"""クラス総合"""
Ranking_Period_Open#0,"""$(1)から<br>$(0)まで"""
Ranking_Period_Notice#0,"""あと$(0)後に開催されます。"""
Ranking_Period_Notice_Soon#0,"""まもなく開催されます。"""
Ranking_Period_Close#0,"""$(0)に終了"""
Rank_Name_Tier1#0,"""ゴールド"""
Rank_Name_Tier2#0,"""シルバー"""
Rank_Name_Tier3#0,"""ブロンズ"""
RewardDetail_Headline1#0,"""報酬情報"""
RewardDetail_Headline2#0,"""報酬"""
Window_Titletelop_TeamtaskRanking#0,"""チームタスクレコード"""
Window_TwolineGuide_TeamtaskRanking#0,"""開催中のチームタスクレコードやその詳細を確認できます。"""
Ranking_Reward_Nmeseta#0,"""$(0)<pict 4space><pict reb_meseta>"""
Ranking_Reward_StarGem#0,"""$(0)<pict 4space><pict StarGem>"""
Ranking_Reward_Item#0,"""$(0)"""
Ranking_Reward_Item_Num#0,"""$(1) x $(0)"""
Ranking_Reward_Other#0,"""$(0)\u3000他"""
ScoreCategory#0,"""$(0)/$(1)"""
Main_Headline_MyRank_Best#0,"""現在のベストレコード"""
Main_Headline_MyRank_Update#0,"""<yellow>ベストレコードを更新<c>"""
ScoreDisplay_Best#0,"""<yellow>$(0)<c>"""
ScoreDisplay_Max#0,"""<pure_orange>$(0)<c>"""
ScoreDisplay_Star#0,"""★"""
ScoreDisplay_TimeSS#0,"""$(0):$(1).$(2)"""
Main_Headline_UpdateTime_Open#0,"""集計日時：---"""
Main_Headline_UpdateTime#0,"""集計日時：$(0)"""
Main_Headline_UpdateTime_Close#0,"""最終集計日時：$(0)"""
ScoreCategory_Score#0,"""スコア"""
ScoreCategory_ClearTime#0,"""クリアタイム"""
ScoreCategory_Score_and_ClearTime#0,"""スコア/クリアタイム"""
ScoreCategory_Mission_Success_Level#0,"""達成度"""
ScoreCategory_ClearTime2#0,"""クリアタイム"""
ScoreCategory_Clear_Difficulty_Multiplier#0,"""難度倍率"""
ScoreCategory_Teamtask_Name#0,"""チーム名"""
ScoreCategory_Teamtask_Score#0,"""スコア"""
