name01#0,"""Cofy"""
11_voice_NPC_5050_104#0,"""สวัสดี<%me><br>ข้าชื่อ Cofy"""
text02#0,"""จากผลงานของเหล่า ARKS<br>ทำให้ขณะนี้ดาวเคราะห์ดวงใหม่ได้ถูกค้นพบแล้ว<br>ซึ่งก็คือ [Wopal]"""
text03#0,"""นี่เป็นดินแดนที่ยังไม่เคยมีใครลงสำรวจ<br>จึงไม่จำเป็นต้องมี Exploration Permit Test"""
text04#0,"""ทำให้ท่านสามารถเข้าไปสำรวจหรือรับภารกิจ<br>เกี่ยวกับ Area นี้ ได้อย่างอิสระ"""
text05#0,"""เท่านี้ล่ะ หากมีอะไรเพิ่มเติมจะติดต่อมาใหม่<br>สวัสดี"""
name01#1,"""コフィー"""
11_voice_NPC_5050_104#1,"""<%me>さん。<br>お疲れ様です。<br>管理官のコフィーです。"""
text02#1,"""アークスの活躍により<br>新たな惑星として<br>惑星ウォパルが発見されました。"""
text03#1,"""未開拓の地となりますが<br>貴方の実力であれば<br>探索許可申請試練の必要はありません。"""
text04#1,"""貴方の随意のタイミングで<br>調査や任務へと赴いてください。"""
text05#1,"""では、今後とも<br>よろしくお願いします。"""
