st_012055_0005#0,"""【消逝於虛空】<br>暫用文字"""
st_012055_0010#0,"""（咆嘯）"""
st_012055_0020#0,"""解決了嗎？"""
st_012055_0030#0,"""還是被牠逃了？"""
st_012055_0040#0,"""......不，還沒有。<br>牠還活著。"""
st_012055_0050#0,"""......是啊。<br>應該說是放了牠一馬，<br>這樣表現才正確。"""
st_012055_0060#0,"""不過，請你放心。<br>我可沒打算就此放過牠。"""
st_012055_0070#0,"""處理者要是搞不定對象的話，<br>又會害得那傢伙<br>為我操心。"""
st_012055_0080#0,"""A.P.238/4/15/12:00:00"""
st_012055_0005#1,"""【虚空に消ゆ】<br>仮テキスト"""
st_012055_0010#1,"""（咆吼）"""
st_012055_0020#1,"""やったのか？"""
st_012055_0030#1,"""逃げられた？"""
st_012055_0040#1,"""……いえ、まだです。<br>まだ、あいつは生きています。"""
st_012055_0050#1,"""……そうですね。<br>逃がした、という表現の方が<br>正しいでしょうけど。"""
st_012055_0060#1,"""でも安心して下さい。<br>取り逃がすつもりはありませんよ。"""
st_012055_0070#1,"""始末屋が標的を取り逃がしたりしたら<br>また、あいつに余計な心配を<br>されてしまいますから。"""
st_012055_0080#1,"""A.P.238/4/15/12:00"""
skit01#0,"""The First Divide"""
skit02#0,"""第9章 偶像的自白"""
skit01#1,"""The First Divide"""
skit02#1,"""第９章 偶像のシュプレヒコール"""
