wh_mainhelp#0,"""เบื้องต้น"""
wh_inventory#0,"""ช่องเก็บของ/ไอเทม"""
wh_pallet_customize#0,"""ช่องเก็บของ/ปรับแต่ง"""
wh_mag#0,"""ช่องเก็บของ/Mag"""
wh_equip#0,"""อุปกรณ์/สวมใส่อาวุธ"""
wh_equip_protector#0,"""อุปกรณ์/สวมใส่เครื่องป้องกัน"""
wh_equip_subpallet#0,"""อุปกรณ์/แก้ไข Sub-Palette"""
wh_friendlist#0,"""คอมมิวนิตี้/รายชื่อเพื่อน"""
wh_team01#0,"""คอมมิวนิตี้/คำสั่งทีม"""
wh_party#0,"""คอมมิวนิตี้/คำสั่งปาร์ตี้"""
wh_mail#0,"""คอมมิวนิตี้/จดหมาย"""
wh_playerlist#0,"""คอมมิวนิตี้/ตัวละครในพื้นที่"""
wh_charainfo#0,"""ข้อมูลของฉัน/ข้อมูลตัวละคร"""
wh_license#0,"""ข้อมูลของฉัน/ฉายา"""
wh_communicationlist#0,"""ข้อมูลของฉัน/ประวัติการติดต่อ"""
wh_profile_info#0,"""ข้อมูลของฉัน/แก้ไข ARKS ID"""
wh_matterboard#0,"""เควส/Matter Board"""
wh_clientorder#0,"""เควส/Client Order"""
wh_bingo#0,"""เควส/ARKS Bingo Card"""
wh_arcsload#0,"""เควส/ARKS Road"""
wh_questinfo#0,"""เควส/ข้อมูลเควส"""
wh_qu_defense_friend#0,"""เควส/Defense Result"""
wh_symbolart#0,"""ระบบ/Symbol Art"""
wh_macro#0,"""ระบบ/ตั้งค่าการพูดคุย"""
wh_config#0,"""ระบบ/ตัวเลือก"""
wh_logwindow#0,"""ระบบ/บันทึกการสนทนา"""
wh_loginstamp#0,"""ระบบ/Login Stamp"""
wh_es#0,"""ระบบ/เชื่อมต่อกับ es"""
wh_acshop#0,"""เมนู AC/AC shop"""
wh_gacha#0,"""เมนู AC/Scratch"""
wh_history#0,"""เมนู AC/ประวัติการซื้อ"""
wh_expirationdate#0,"""เมนู AC/วันหมดอายุสินค้า"""
wh_logout#0,"""ออกจากระบบ"""
wh_selectmenu#0,"""เมนูลัด"""
wh_visifon#0,"""Visiphone"""
wh_myshop#0,"""Visiphone/My shop"""
wh_myshop_sell#0,"""Visiphone/จัดการร้านของท่าน"""
wh_partner_registration#0,"""Visiphone/เพิ่ม Friend Partner"""
wh_profile#0,"""Visiphone/แก้ไข ARKS ID"""
wh_arcssearch#0,"""Visiphone/ค้นหา ARKS"""
wh_library#0,"""Visiphone/สารานุกรม"""
wh_ranking#0,"""Visiphone/Ranking"""
wh_item_code#0,"""Visiphone/Item Code"""
wh_goodjob#0,"""เมนูตัวละคร/Good job"""
wh_trade#0,"""เมนูตัวละคร/แลกเปลี่ยนไอเทม"""
wh_questcounter#0,"""Counter/Quest counter"""
wh_freefield#0,"""Counter/การลาดตระเวน"""
wh_class_counter#0,"""Counter/Class Counter"""
wh_skilltree#0,"""Counter/Class Skill Tree"""
wh_license_counter#0,"""Counter/Title Counter"""
wh_teamcounter01#0,"""Counter/Team Counter"""
wh_team_extension#0,"""Counter/การอัพเกรดทีม, Team Room"""
wh_medical#0,"""Counter/Medical Center"""
wh_netcafe#0,"""Counter/@Cafe Counter"""
wh_shop#0,"""Shop/Item Shop"""
wh_rabo#0,"""Shop/Item Lab"""
wh_exchange#0,"""Shop/Exchange Shop"""
wh_recycling#0,"""Shop/Recycle Shop"""
wh_shop_simple#0,"""Shop/Limited Shop"""
wh_judgment#0,"""Shop/Appraiser"""
wh_esthetic#0,"""Shop/Salon"""
wh_funshop#0,"""Shop/FUN Shop"""
wh_container#0,"""Terminal/Storehouse"""
wh_guild_container#0,"""Terminal/Team Storehouse"""
wh_partner_terminal#0,"""Terminal/Partner Terminal"""
wh_myroom#0,"""Terminal/Room Terminal"""
wh_team_boost#0,"""Terminal/Photon Tree"""
wh_qu_eternal_terminal#0,"""Terminal/Extreme Terminal"""
wh_qu_eternal_floorinfo#0,"""Terminal/ข้อมูล Stage (Extreme Quest)"""
wh_qu_defense_console#0,"""Terminal/Mining Base Terminal"""
wh_charamake#0,"""การสร้างตัวละคร"""
wh_faintingmenu#0,"""เมนูหมดสภาพต่อสู้"""
wh_areamap#0,"""แผนที่พื้นที่"""
wh_keybordhelp#0,"""ปุ่มช่วยเหลือคีย์บอร์ด"""
wh_partner_list#0,"""รายชื่อ Partner"""
wh_supportpartner_menu#0,"""Support Partner/เมนู"""
wh_supportpartner_custom#0,"""Support Partner/ปรับแต่งเครื่องแต่งกาย"""
wh_supportpartner_search#0,"""Support Partner/ระบุการค้นหา"""
wh_craft_top#0,"""Craft/Craft Menu"""
wh_craft_extend#0,"""Craft/Equipment Extend"""
wh_craft_tec_custom#0,"""Craft/Photon Magic Customize"""
wh_craft_orders_created#0,"""Craft/รายการจ้างวาน"""
wh_craft_signboard#0,"""Craft/Signboard Setting """
wh_craft_visifon_top#0,"""Craft/ข้อมูล Craft"""
wh_craft_search#0,"""Craft/ค้นหา Crafter"""
wh_craft_user_order#0,"""Craft/สั่ง Craft กับผู้เล่นอื่น"""
wh_craft_card_recipe#0,"""Craft/Update Data Drive"""
wh_craft_card_create#0,"""Craft/Make Ability Data"""
wh_shipbattle_goods#0,"""Arks Ship Competition/Prize Shop"""
wh_shipbattle_mainmenu#0,"""Quest/Arks Ship Competition"""
wh_shipbattle_reward#0,"""Arks Ship Competition/รางวัลสำหรับอันดับที่ทำได้"""
wh_shipbattle_points#0,"""Arks Ship Competition/คะแนนรวม"""
wh_shipbattle_roundinfo#0,"""Arks Ship Competition/ข้อมูล Round"""
wh_eventchronicle#0,"""Event Chronicle"""
