name01#0,"""Wright"""
name01#1,"""ライト"""
text00#0,"""ขอบคุณมากครับ<br>ช่วยผมได้มากเลยล่ะ"""
text01#0,"""ขอโทษนะครับ ที่ต้องขอให้ช่วย<br>ขอบพระคุณมากจริงๆครับ"""
text02#0,"""ได้รับของแล้วครับผม<br>เหมือนที่ขอเลยนะครับเนี่ย<br>ไว้จะรบกวนใหม่นะครับ"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""ありがとうございます。<br>ほんと、助かりました。"""
text01#1,"""すみません、頼んじゃって。<br>どうもありがとうございました。"""
text02#1,"""はい、確かに受け取りました。<br>依頼通りですね。<br>次も、お願いします。"""
text03#1,"""ありがとう03"""
text00#2,"""ว้าว นี่มัน !<br>โห สุดยอดไปเลยนะครับเนี่ย<br>ขอบคุณมากจริงๆครับ"""
text01#2,"""ยอดไปเลยครับ<br>ดีกว่าที่คิดจนผมตกใจหมดเลย<br>ขอบพระคุณมากครับ !"""
text02#2,"""ดีกว่าที่ขอไว้อีกครับ !<br>แบบนี้อาจารย์เองก็คงดีใจแน่<br>ไว้จะมาให้ช่วยใหม่นะครับ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""わわっこれは！<br>いや、凄いですね。本当。<br>ありがとうございました。"""
text01#3,"""助かりました。<br>想像以上で、驚いています。<br>ありがとうございました！"""
text02#3,"""求めてた以上ですよ！<br>先生も、喜ぶと思います。<br>またよろしくお願いします。"""
text03#3,"""本当にありがとう03"""
