Title#0,"""創世を謳う幻創の造神"""
Explanation#0,"""在行星・地球的太平洋上<br>再次確認到了超強大的幻創種的反應。<br>觀測到了不尋常的巨大反應<br>因為是極其危險的任務、因此只有熟練的ARKS<br>才能出撃本任務。<br>――――――――――――――――――――<br>可進行次數$(0)次、有排行榜<br>最大傷害上限/999999<br>失敗条件/任務的失敗、超過限制時間、<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000全員累計5次無法戰鬥"""
SimpleExplanation#0,"""撃退造神・古拉西亞！"""
a1#0,"""完成特定的委託"""
a2#0,"""完成特定的委託"""
a3#0,"""持有超級困難（SH）接受許可證"""
a4#0,"""持有超級困難（SH）接受許可證"""
NpcComMsg1#0,"""接下來開始太平洋上<br>再次出現的幻創造神<br>的撃退作戰。"""
NpcComMsg2#0,"""觀測到了至今為止從未有過的巨大的能量<br>可以預料到<br>是非常危險的任務。"""
NpcComMsg3#0,"""但是能集合到大家的力量的話<br>一定！　肯定會勝利的！<br>請多加小心！"""
Area0S#0,"""世界樹"""
Area0L#0,"""行星・地球\u3000世界樹"""
Area1S#0,"""世界樹の頂"""
Area1L#0,"""行星・地球\u3000世界樹頂部"""
Area1S#1,"""復活節島"""
Area1L#1,"""行星・地球\u3000復活節島"""
QuestInfoPlanetName#0,"""行星・地球"""
TargetExplanation#0,"""任務目標「撃退造神・古拉西亞！」<br><br><c f0df60>全員合計 <c ff2020>5次無法戰鬥<c f0df60> 即任務失敗<c>"""
