OrderList#0,"""Daily Craft List"""
TodaySuccess#0,"""จำนวนที่ Craft สำเร็จวันนี้"""
NextReward#0,"""รางวัลที่จะได้รับเมื่อเสร็จ Order ครั้งต่อไป"""
AcceptList#0,"""ดูข้อมูลการจ้างวาน"""
OrderReward#0,"""ดูรางวัลเมื่อส่งงานสำเร็จ"""
Recipe#0,"""Recipes ที่มีผล"""
SuccessNum#0,"""จำนวนครั้งที่ส่งงานสำเร็จ"""
SuccessReward#0,"""รางวัลที่ส่งงานสำเร็จ"""
FullSizeFormTitle#0,"""Daily Craft"""
FullSizeFormHelp#0,"""<c f0df60>ในแต่ละวันจะมีการจ้างวานแตกต่างกันเข้ามา เลือกหัวข้อการจ้างวาน เพื่อทำการ Craft<c>"""
OrderListEmptyMessage#0,"""ไม่มีการจ้างวาน"""
OrderSuccessNumMessage#0,"""$(0)/$(1) (รีเซตทุก$(2)นาฬิกาของวัน)"""
RewardListItemName#0,"""ส่งงานสำเร็จแล้ว $(0)"""
RewardNameNone#0,"""ไม่มี"""
RewardListEmptyMessage#0,"""การโหลดข้อมูลของรางวัลล้มเหลว"""
NoRecipeSelectErrorMessage#0,"""ไม่สามารถเลือกได้เนื่องจากมีวัตถุดิบไม่พร้อม"""
ItemFullSelectErrorMessage#0,"""ไม่สามารถดำเนินการส่งมอบรางวัลได้<br>เนื่องจากเนื้อที่ในช่องเก็บของไม่พอ<br>หรือเต็มจำนวนสูงสุดที่เก็บได้"""
GetRewardMessage#0,"""ส่งงานได้ครบจำนวน $(0) ได้รับรางวัลเป็น [$(1)]"""
OrderListReturn#0,"""กลับสู่หน้า Daily Craft List"""
OrderList#1,"""デイリークラフトリスト"""
TodaySuccess#1,"""本日のデイリークラフト達成数"""
NextReward#1,"""次の依頼達成でもらえる報酬"""
AcceptList#1,"""依頼内容確認"""
OrderReward#1,"""依頼達成報酬"""
Recipe#1,"""対応レシピ"""
SuccessNum#1,"""依頼達成回数"""
SuccessReward#1,"""依頼達成報酬"""
FullSizeFormTitle#1,"""デイリークラフト"""
FullSizeFormHelp#1,"""<c f0df60>日替わりで様々なクラフト依頼が届きます。依頼を選択すると、クラフトを実行できます。<c>"""
OrderListEmptyMessage#1,"""依頼がありません"""
OrderSuccessNumMessage#1,"""$(0)/$(1)\u3000（毎日$(2)時に更新）"""
RewardListItemName#1,"""$(0)依頼達成"""
RewardNameNone#1,"""なし"""
RewardListEmptyMessage#1,"""報酬情報が取得できませんでした"""
NoRecipeSelectErrorMessage#1,"""必要なレシピを習得していないため<br>選択できません。"""
ItemFullSelectErrorMessage#1,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えるなど、<br>報酬を受け取れない可能性があるため<br>実行できません。"""
GetRewardMessage#1,"""$(0)依頼達成報酬「$(1)」を受け取りました。"""
OrderListReturn#1,"""デイリークラフトリストに戻る"""
CraftOrder#0,"""สั่ง Craft"""
CraftTerminal#0,"""ข้อมูล Craft Console"""
CraftOrderSelection#0,"""ใบสั่ง Craft ที่คุณจ้างทำ"""
CraftOrderCheck#0,"""ดูข้อมูลการสั่ง Craft"""
cancel#0,"""ดูข้อมูลการสั่ง Craft ที่ยกเลิก"""
CraftReturnedGoods#0,"""ดูข้อมูลการยกเลิก"""
CraftOrderReceivedList#0,"""รายการจ้างวาน"""
CraftSignboardMenu#0,"""Signboard Setting Menu"""
CraftSignboardSetup#0,"""Signboard Setting"""
CraftRecipeMenu#0,"""รายการบันทึก Craft Recipe ที่สามารถรับงานได้"""
CraftRecipeKindSelection#0,"""เลือกประเภท Craft Recipe"""
CraftAdvertisementSetup#0,"""แก้ไขคำประกาศ"""
CraftOrderCharacter#0,"""เลือกตัวละครที่สั่ง Craft"""
OrderCheck#0,"""เลือกใบสั่ง Craft"""
RequestOrderReceived#0,"""รับคำขอ"""
RequestOrderRefuses#0,"""ปฏิเสธคำขอ"""
ArksCard#0,"""ดูข้อมูล ARKS Card"""
BlackList#0,"""บันทึกลง Black List"""
FriendRegistration#0,"""ส่งคำขอเป็น Friend"""
TeamCommand#0,"""Team Command"""
RecipeSetup#0,"""บันทึก Craft Recipe ที่สามารถรับงานได้"""
AdvertisementSetup#0,"""แก้ไขคำโฆษณา"""
Extend#0,"""Extend"""
TechnicCustomize#0,"""Technic Customize"""
OriginalEnchant#0,"""Ability Install"""
UnSetup#0,"""ไม่มีการบันทึกไว้"""
OrderClient#0,"""ผู้สั่งงาน"""
RequestArticle#0,"""ของที่จ้างวาน"""
RequestDay#0,"""วันที่จ้างวาน"""
OrderReceivedRecipe#0,"""Craft Recipe ที่สามารถรับงานได้"""
Advertisement#0,"""โฆษณา"""
SearchSetup#0,"""ผู้ที่สามารถค้นหาข้อมูลของคุณ"""
CommercialCopyEntry#0,"""ใส่คำโฆษณา"""
AdvertisementSymbolArt#0,"""กำหนด Symbol Art สำหรับโฆษณา"""
OrderRecipeA#0,"""Craft Recipe ที่สามารถรับงานได้ 1"""
OrderRecipeB#0,"""Craft Recipe ที่สามารถรับงานได้ 2"""
OrderRecipeC#0,"""Craft Recipe ที่สามารถรับงานได้ 3"""
SearchAll#0,"""ทุกคน"""
SearchFriend#0,"""เฉพาะ Friend"""
SearchTeamMember#0,"""เฉพาะ Team Member"""
SearchFriendTeam#0,"""เฉพาะ Friend และ Team Member"""
Secret#0,"""ส่วนตัว"""
CraftOrderConfirmTitle#0,"""ดูข้อมูลการรับงาน"""
CraftOrderConfirmMessage#0,"""ใช้งาน Craft Line<br>เพื่อทำสินค้าตามคำร้องขอ<br><br>โปรดยืนยันเพื่อดำเนินการต่อ<br><br>Meseta ที่จะได้รับ: $(1)<br>Cooldown time: $(0)"""
Order_Possible#0,"""ไม่มีการสั่ง Craft"""
OrderReceptionist#0,"""ยังไม่มีการสั่ง Craft"""
OrderUnderOrder#0,"""อยู่ระหว่างสั่ง Craft"""
OrderCompletion#0,"""อยู่ระหว่างการสร้าง"""
OrderReturn#0,"""ยกเลิก"""
OrderCharacterName#0,"""ชื่อผู้รับจ้าง"""
OrderItemName#0,"""ชื่อไอเทม"""
OrderDay#0,"""วันที่สั่ง Craft"""
SettingReflection#0,"""ยืนยัน"""
CraftOrderCharacterNone#0,"""ไม่มีตัวละครที่สามารถเลือกได้"""
CraftOrderReceivedListNone#0,"""ไม่มีการจ้างวาน"""
CraftRecipeNone#0,"""ไม่มี Craft Recipe"""
CraftSignboardRecipeSet#0,"""Craft Recipe ที่รับงานได้ถูกเปลี่ยนแปลง"""
CraftSignboardCmSet#0,"""เปลี่ยนคำโฆษณาเรียบร้อย"""
CraftOrderPlaceTitle#0,"""ดูข้อมูลการสั่ง Craft"""
CraftOrderPlaceAskExtend#0,"""กำลังดำเนินการสั่ง Craft ตามรายละเอียดด้านบน<br>ยืนยันการสั่ง Craft หรือไม่?<br><br>*หากทำการ Extend โดยไม่มีการลงทะเบียนไว้<br>ของนั้นจะถูกลงทะเบียนให้ผู้สั่ง Craft <yellow>เป็นเจ้าของ<c> โดยอัตโนมัติ<br>และไม่สามารถขายต่อให้ผู้อื่นได้<br>*Equipment ที่มีการลดค่าพลังขั้นต่ำที่ต้องการ การลดค่านั้นๆ<yellow>จะถูกลบทิ้ง<c>"""
CraftOrderPlaceAskExtendSameLevel#0,"""กำลังดำเนินการสั่ง Craft ตามรายละเอียดด้านบน<br>ยืนยันการสั่ง Craft หรือไม่?<br><br>*เนื่องจากของมี Extend Level ระดับเท่ากัน<br>จึงมีโอกาศเกิด <c ff007f>[Great Success !]<c> สูงขึ้น"""
CraftOrderPlaceAskTechnic#0,"""กำลังดำเนินการสั่ง Craft ตามรายละเอียดด้านบน<br>ยืนยันการสั่ง Craft หรือไม่?"""
CraftOrderPlaceAskEnchant#0,"""กำลังดำเนินการสั่ง Craft ตามรายละเอียดด้านบน<br>ยืนยันการสั่ง Craft หรือไม่?"""
CraftOrderPlaceMessage#0,"""สั่ง Craft เรียบร้อย<br><br>คุณสามารถรับของที่สร้างเสร็จ หรือยกเลิกการ Craft ได้ที่<br> Visiphone หัวข้อ [Craft > ใบสั่ง Craft ที่อยู่ระหว่างจ้างวาน] """
CraftOrderPlaceError#0,"""การสั่ง Craft ล้มเหลว"""
CraftOrderPlaceCancelTitle#0,"""ดูข้อมูลยกเลิกการสั่ง Craft"""
CraftOrderPlaceCancelAsk#0,"""ยกเลิกการจ้างวานที่กำลังสั่ง Craft<br>ไอเทมและ Meseta ตามด้านล่างจะถูกส่งคืน<br>ยืนยันการยกเลิกหรือไม่?<br><br>Meseta ที่จะถูกส่งคืน: $(0)"""
CraftOrderPlaceCancelMessage#0,"""ยกเลิกการสั่ง Craft เสร็จสิ้น"""
