st_064025_0010#0,"""如此苦戰的敵人<br>轉眼間……！<br>……這樣的話、就能打回去了！"""
st_064025_0020#0,"""呀啊啊啊！"""
st_064025_0030#0,"""等一下理奈、不要過頭了！"""
st_064025_0040#0,"""啾！！"""
st_064025_0050#0,"""誒……！"""
st_064025_0060#0,"""啊啊啊啊！"""
st_064025_0070#0,"""讓我來吧！"""
st_064025_0080#0,"""呀啊！"""
st_064025_0090#0,"""呼！<br>對不起我來晚了、理奈前輩！"""
st_064025_0100#0,"""……逸樹君！"""
st_064025_0110#0,"""可別亂來啊、前輩。<br>一個人逞強是不合格的<br>是誰告訴我的？"""
st_064025_0120#0,"""我、我知道了。<br><%me>桑<br>也感謝你。"""
st_064025_0130#0,"""逸樹、大家的避難誘導呢？"""
st_064025_0140#0,"""當然、已經結束了。<br>所以我來幫忙的。"""
st_064025_0150#0,"""<%me>！<br>聽見了嗎！"""
st_064025_0160#0,"""特意讓你來真是不好意思啊！<br>能不能順便再拜託一件事！"""
st_064025_0170#0,"""市區有我和數字笨蛋壓制著<br>但學校那邊也多少有點敵人來了！"""
st_064025_0180#0,"""<%me>……<br>……那邊、拜託了!！"""
st_064025_0190#0,"""沒關係的。<br>這裏就交給我們吧。"""
st_064025_0200#0,"""正如逸樹所言。<br> 託您的福、我也明白了戰鬥的方法。"""
st_064025_0210#0,"""那邊應該有人在尋求你的幫助。<br>請到那邊去吧。"""
st_064025_0220#0,"""……兩個人都、說了那樣的話<br>但這是連ARKS都要苦戰的對手。<br>如果要走的話就趁現在吧。"""
st_064025_0230#0,"""事到如今你在說什麼啊、鈴来桑。<br>我們不是一起和<br>黑暗法爾斯戰鬥過嗎。"""
st_064025_0240#0,"""理奈前輩說得沒錯。<br>明明有自己能做的事情<br>卻視而不見、是不可能的。"""
st_064025_0250#0,"""……來吧！<br>為了保護這個世界……保護地球！"""
st_064025_0260#0,"""呀啊啊啊啊啊啊！"""
st_064025_0270#0,"""呀啊啊啊啊啊啊！"""
st_064025_0280#0,"""呀啊啊啊啊啊啊！"""
st_064025_0290#0,"""星光爆裂－－－！"""
name01#0,"""三人"""
name02#0,"""拉比"""
