HELLO_FAV4#0,"""กำลังรออยู่เลย"""
HELLO_FAV3#0,"""คงจะเหนื่อยสินะ"""
HELLO_FAV2#0,"""สวัสดี"""
HELLO_FAV1#0,"""มีธุระอะไรใช้ช่วยไหม"""
HELLO_FAV0#0,"""มีธุระอะไรเหรอ?"""
GOODBYE_FAV4#0,"""ระวังตัวด้วยนะ"""
GOODBYE_FAV3#0,"""แล้วพบกันใหม่ะ"""
GOODBYE_FAV2#0,"""ลาก่อน"""
GOODBYE_FAV1#0,"""ไปนะ"""
GOODBYE_FAV0#0,"""อ่า....."""
GOTOEXP_FAV4#0,"""วางใจได้เลยค่ะ มาสเตอร์"""
GOTOEXP_FAV3#0,"""ถ้าอย่างนั้นไปก่อนนะ"""
GOTOEXP_FAV2#0,"""รับทราบ"""
GOTOEXP_FAV1#0,"""เข้าใจแล้ว"""
GOTOEXP_FAV0#0,"""ไปล่ะ"""
HELLO_REPORT_FAV4#0,"""มาสเตอร์ ถ้ามีเวลาขออนุญาต<br>แจ้งรายงานหน่อยได้ไหม"""
HELLO_REPORT_FAV3#0,"""ขอแจ้งรายงานหน่อยได้ไหม"""
HELLO_REPORT_FAV2#0,"""กลับมาแล้ว<br>มีรายงานแจ้งให้ทราบ"""
HELLO_REPORT_FAV1#0,"""มีรายงานมาแจ้งให้ทราบ"""
HELLO_REPORT_FAV0#0,"""กลับมาแล้ว"""
HELLO_OTHER#0,"""เชิญ"""
GOODBYE_OTHER#0,"""ลาก่อน"""
HELLO_FAV4#1,"""お待ちしていました"""
HELLO_FAV3#1,"""お疲れ様です"""
HELLO_FAV2#1,"""こんにちは"""
HELLO_FAV1#1,"""用件をどうぞ"""
HELLO_FAV0#1,"""用件を"""
GOODBYE_FAV4#1,"""お気をつけて"""
GOODBYE_FAV3#1,"""それではまた"""
GOODBYE_FAV2#1,"""さようなら"""
GOODBYE_FAV1#1,"""では"""
GOODBYE_FAV0#1,"""あ……"""
GOTOEXP_FAV4#1,"""お任せ下さい、マスター"""
GOTOEXP_FAV3#1,"""では、行って参ります"""
GOTOEXP_FAV2#1,"""はい、了解です"""
GOTOEXP_FAV1#1,"""わかりました"""
GOTOEXP_FAV0#1,"""出撃します"""
HELLO_REPORT_FAV4#1,"""マスター、お時間よろしければ<br>報告を聞いていただけませんか？"""
HELLO_REPORT_FAV3#1,"""報告をしても<br>よろしいでしょうか？"""
HELLO_REPORT_FAV2#1,"""戻りました。<br>報告があります"""
HELLO_REPORT_FAV1#1,"""報告案件があります"""
HELLO_REPORT_FAV0#1,"""帰還しました"""
HELLO_OTHER#1,"""いらっしゃいませ"""
GOODBYE_OTHER#1,"""さようなら"""
HELLO_FAV4#2,"""กำลังรออยู่เลย!"""
HELLO_FAV3#2,"""ช่วงนี้เป็นไงบ้างล่ะ?"""
HELLO_FAV2#2,"""ไง"""
