text01#0,"""แม้แต่ ARKS ที่เก่งที่สุดก็ต้องเริ่มต้นจากพื้นฐานก่อน<br>จงมั่นใจในตัวข้าแล้วตามมา"""
text02#0,"""ก่อนที่จะเริ่มการฝึกฝนของท่าน<br>ข้าจะสอนสกิลที่มีประโยชน์สำหรับ Hunter"""
11_voice_NPC_5054_100#0,"""ขอให้ทำอย่างสุดความสามารถ"""
text100#0,"""Evasive Strike"""
text101#0,"""Evasive Strike คือความสามารถที่ท่านสามารถเรียนได้ด้วย Skill points"""
text102#0,"""สามารถเรียน Skill ได้ที่ Class Counter"""
text103#0,"""ท่านจะสามารถโจมตีพื้นฐานในขณะที่หลบไปด้วย"""
text01#1,"""どんなに優秀なアークスも<br>最初はみんな基礎から始める。<br>私を信じてついてきたまえ！"""
text02#1,"""特訓を始める前に<br>ハンターにとって有用なスキルを<br>君に伝えておこう。"""
11_voice_NPC_5054_100#1,"""健闘を祈る。"""
text100#1,"""『ステップアタック』について"""
text101#1,"""スキル『ステップアタック』について説明します。"""
text102#1,"""ステップアタックとは、<br>スキルで習得できる特殊能力の１つです。<br><br>スキルはクラスカウンターで習得することができます。"""
text103#1,"""回避中に通常攻撃を入力することで、<br>回避後の立ち上がりから素早く攻撃を始めることができます。"""
