IncidentName#0,"""侵食戦闘機の制御機構を破壊"""
TrialBeginMsg#0,"""ダーカーに侵食された戦闘機の<br>制御機構を見つけだし、破壊せよ！"""
TrialAbstract#0,"""ダーカーに侵食された戦闘機の<br>制御機構を見つけだし、破壊せよ！"""
NpcComOnBegin#0,"""これは……ダーカーの反応！？<br>奴らめ、アークスの戦闘機を<br>乗っ取ったというのか！"""
NpcComOnBeginAtRareCase#0,"""異常なダーカー反応を検知。<br>ほかの戦域に転移しようとしている！<br>決して逃がすな！"""
NpcComOnSuccess#0,"""制御機構の破壊を確認。<br>侵食戦闘機の反応も消失した。<br>状況終了だ。"""
NpcComOnFailure#0,"""/face6 侵食戦闘機の転移を確認。<br>追跡は不可能だろう。<br>本来の任務を継続しろ。"""
AppearHeli#0,"""アークスの戦闘機だと？<br>……様子がおかしい、気をつけろ。"""
BreakHeli#0,"""撃墜したようだが……。<br>気を抜くな、終わりじゃないぞ。"""
RespawnHeli#0,"""やはり、何機でも現れるか……"""
UrgesFindCore#0,"""そいつを攻撃しても無駄だ。<br>どこかに制御機構がある。<br>見つけ出して破壊しろ。"""
UrgesArrivalCore1st#0,"""制御機構の位置を特定した。<br>$(0)へ急行し、破壊しろ。"""
UrgesArrivalCore#0,"""制御機構の位置は$(0)だ。<br>急行し、破壊しろ。"""
FindCore#0,"""そいつが制御機構だ。<br>迅速に破壊しろ。"""
DamagedCore#0,"""よし、そのまま攻撃を加え、<br>一気に破壊しろ。"""
TimeupWarning#0,"""目標の転移までの時間が迫っている。<br>そいつを逃がすと被害が広がる！<br>可及的速やかに破壊しろ！"""
TimeupEmergency#0,"""目標の転移まで時間がない。<br>急ぎ制御機構を破壊しろ！"""
