un_012130_0010#0,"""สวัสดีค่ะ<br>ยังไม่รู้สึกว่าได้เข้าใกล้ Haddred<br>แม้แต่น้อยเลยสินะคะ"""
un_012130_0020#0,"""ทางนี้ก็เหมือนกันค่ะ เพราะยังมี<br>ภารกิจอื่นให้ทำนอกจากตามรอย<br>มังกรคลั่งหรือ Haddred อยู่อีก"""
un_012130_0030#0,"""เนื้อหาของภารกิจเหรอ...<br>อย่าถามดีกว่านะคะ<br>ไม่ใช่เรื่องดีสักเท่าไหร่หรอก"""
un_012130_0040#0,"""อีกอย่าง สำหรับชั้นแล้วการแพร่งพราย<br>ข้อมูลของภารกิจก็เท่ากับการหักหลัง<br>ตัวเองด้วย ......เรื่องมันก็แค่นั้นล่ะค่ะ"""
un_012130_0050#0,"""เพราะอย่างนั้น ถึงไม่น่าแปลกใจเลย<br>ที่ชั้นจะสนใจคุณที่ทำเพื่อคนอื่นตลอด<br>ทั้งๆ ที่ไม่ใช่เรื่องของตัวเอง"""
un_012130_0060#0,"""ไม่ได้รับคำสั่งจากใครแท้ๆ<br>แต่ทำไมต้องทำขนาดนั้น..."""
un_012130_0070#0,"""ขออภัยที่เสียมารยาท<br>ลืมไปซะเถอะค่ะ แล้วพบกันใหม่"""
un_012130_0080#0,"""A.P.238/4/16"""
un_012130_0010#1,"""どうも、こんにちは。<br>ハドレッドの足取りは未だ掴めず<br>といった感じですね。"""
un_012130_0020#1,"""こちらも同じようなものです。<br>暴走龍やハドレッドを追うこと以外にも<br>任務は存在しますし。"""
un_012130_0030#1,"""任務の内容は……<br>聞かない方がいいですよ。<br>褒められたものではありません。"""
un_012130_0040#1,"""わたしはただ、与えられた任務と<br>役割を常に全うする。<br>……それだけですから。"""
un_012130_0050#1,"""だから、自主的に調査へと動き<br>他者のために独自に考える<br>あなたが不思議でなりません。"""
un_012130_0060#1,"""命令もなしで<br>どうしてそこまで……"""
un_012130_0070#1,"""いえ、詮無き質問でした。<br>忘れて下さい。それでは。"""
un_012130_0080#1,"""A.P.238/4/16"""
