un_020020_0010#0,"""แหมๆ สวัสดีค่า<br>ยังยิงแล้วก็ฆ่าอยู่หรือเปล่าค้า?"""
un_020020_0020#0,"""Risa น่ะรู้สึกไม่คึกคักเลย<br>มันรู้สึกไม่เข้าที่ยังไงก็ไม่รู้ค่ะ"""
un_020020_0030#0,"""คุณเจอแล้วไปแล้วเหรอคะ?<br>เจ้าตัวจำลองของ ARKS......<br>ใช่ เจ้าตัวปลอมนั่นแหละค่ะ"""
un_020020_0040#0,"""คิดว่าชั้นจะรู้สึกดีใจที่ได้ยิง<br>อะไรที่รูปร่างเหมือนคน?<br>เสียใจด้วย มันไม่ใช่แบบนั้นหรอกค่ะ"""
un_020020_0050#0,"""ก็นั่นน่ะ เป็นตุ๊กตาไม้ที่สร้าง<br>ขึ้นมาเพื่อให้ถูกฆ่าอยู่แล้วนี่นา<br>น่าเบื่อจะตายไปค่ะ"""
un_020020_0060#0,"""Risa น่ะนะ อยากจะสู้กับคนที่<br>สู้แบบเอาเป็นเอาตายมากกว่านี้<br>เอาชีวิตเข้าแลกมากกว่านี้ค่ะ"""
un_020020_0070#0,"""การที่คู่ต่อสู้เป็นเจ้าตุ๊กตาไม้ไร้อารมณ์<br>แบบนั้นน่ะมันไม่ทำให้คึกคักเลยซักนิด<br>ก็ Photon มันเป็นพลังแห่งจิตใจนี่นา"""
un_020020_0080#0,"""เอาเถอะ ความรู้สึกตอนยิงมันก็สนุกดี<br>มันก็ถือว่าพอได้สนุกอยู่ล่ะนะคะ<br>คิกคิก"""
un_020020_0010#1,"""あらあら、こんにちわあ。<br>撃って殺していますかあ？"""
un_020020_0020#1,"""リサはちょっとテンション低めです。<br>なんだかしっくりこないんですねえ。"""
un_020020_0030#1,"""あなたはもうお会いしました？<br>あのアークスの模倣体……<br>そう、あの偽物さんのやつです。"""
un_020020_0040#1,"""ひとみたいのを撃てるから<br>喜んでると思いました？<br>残念、そうでもないんですねえ。"""
un_020020_0050#1,"""だってあれ、殺されるためにいる<br>木偶人形じゃないですかあ。<br>それじゃつまらないんですよう。"""
un_020020_0060#1,"""リサはね、もっと命をかけて<br>必死に戦ってくれる人と<br>やりたいんです。"""
un_020020_0070#1,"""あんな意志の薄弱な木偶相手なんて<br>ちっとも燃えませんねえ。<br>フォトンは意志の力なんですから。"""
un_020020_0080#1,"""ま、撃ったときの感触はおもしろいので<br>それはそれで楽しませてもらって<br>いますけどねえ。ふふふっ。"""
