ssc_510020_0010#0,"""……ん？"""
ssc_510020_0020#0,"""<%me>か。"""
ssc_510020_0030#0,"""なにをしているの？"""
ssc_510020_0040#0,"""ここでなにかあるの？"""
ssc_510020_0050#0,"""偵察だ。"""
ssc_510020_0060#0,"""なにもない。<br>ただの偵察だ。"""
ssc_510020_0070#0,"""……部隊の長が見回りに出ても、<br>なにもおかしなことはないだろう。"""
ssc_510020_0080#0,"""カヌイは、いまだに反対しているが。"""
ssc_510020_0090#0,"""以前より、エアリオからの補給が<br>受けやすくなったとはいえ……。"""
ssc_510020_0100#0,"""多数の敵に対して、隊員の数は少ない。"""
ssc_510020_0110#0,"""連日の戦いで、疲労も蓄積している。"""
ssc_510020_0120#0,"""だったら、体力に余裕のある俺が、<br>ただ椅子に座っているわけにはいかない。"""
ssc_510020_0130#0,"""それだけのことだ。"""
ssc_510020_0140#0,"""部下思いなんだね。"""
ssc_510020_0150#0,"""実は優しいんだね。"""
ssc_510020_0160#0,"""隊長として、あたりまえのことだ。"""
ssc_510020_0170#0,"""……そうではない。"""
ssc_510020_0180#0,"""俺は、セントラルの……クロフォードの<br>反対を押し切って、ここに来た。"""
ssc_510020_0190#0,"""キャンプにいる隊員は、<br>俺の意志に賛同してくれた者たちだ。"""
ssc_510020_0200#0,"""頼んでもいないのに、次々と志願をしてな。"""
ssc_510020_0210#0,"""なかには、<br>家族をエアリオに残してきた者も大勢いる。"""
ssc_510020_0220#0,"""エアリオでの生活を捨てて、<br>俺のわがままにつき合ってくれている連中だ。"""
ssc_510020_0230#0,"""そんなやつらを、<br>無駄死にさせるわけにはいかない。"""
ssc_510020_0240#0,"""十分な休息をとらせ、<br>万全の態勢で戦いに臨ませる。"""
ssc_510020_0250#0,"""俺が、やつらにしてやれるのは、<br>それくらいだ。"""
ssc_510020_0260#0,"""グレンは無理してないの？"""
ssc_510020_0270#0,"""グレンは休まなくて平気なの？"""
ssc_510020_0280#0,"""自分のことは、自分が一番わかっている。"""
ssc_510020_0290#0,"""適当に休んでいる。"""
ssc_510020_0300#0,"""話は終わりでいいか？"""
ssc_510020_0310#0,"""俺は、もう少し先を見て回る。"""
ssc_510020_0320#0,"""お前の力なら、<br>このあたりの敵は問題ないはずだが……。"""
ssc_510020_0330#0,"""油断しないことだ。"""
ssc_510020_0340#0,"""ドールズはどこから現れるかわからない。"""
ssc_510020_0350#0,"""戦死者名簿で、<br>お前の名など見たくないからな。"""
