linewindow#0,"""เกี่ยวกับ Stage ของ [Extreme Quest]"""
text00#0,"""เกี่ยวกับ Stage ของ [Extreme Quest]"""
text03#0,"""ข้อมูลเกี่ยวกับ [Stage] ของ [Extreme Quest]<br><br>โลกเสมือนจริงที่สามารถเข้าได้ผ่านทาง Telepool นั้น<br>จะถูกแบ่งออกเป็นหลายๆ Stage<br><br>การจะผ่านไปสู่ Stage ต่อๆไปได้นั้น จำเป็นจะต้องกำจัดศัตรูที่ปรากฏตัว<br>ขึ้นบน Stage นั้นๆทั้งหมดเสียก่อน<br><br>จะนับว่าภารกิจสำเร็จ เมื่อสามารถผ่านได้ทุกๆ 5 Stage<br><yellow>* เท่ากับเล่นได้ 5 Stage ต่อการปฏิบัติภารกิจ 1 ครั้งเท่านั้น<c>"""
text04#0,"""ข้อมูลเกี่ยวกับวิธีเริ่มใช้งาน [Extreme Quest]<br><br>[Extreme Quest] เป็นโลกเสมือนจริงสำหรับบุคคลากรที่มีฝีมือระดับสูง<br>จึงมีเพียงผู้ที่ได้รับการรับรองแล้วถึงจะสามารถใช้งานได้เท่านั้น<br>ท่านต้องแสดง [Extreme Pass] เพื่อทำการยืนยันตัวตนกับ Gate <br>บน CampShip ก่อนจึงจะสามารถเข้าสู่โลกเสมือนจริงได้"""
text05#0,"""ใน [Extreme Quest] นั้น<br>ท่านจะได้รับการบันทึกข้อมูลทุกๆ 5 Stage ที่สามารถผ่านได้<br><br>และตราบที่ท่านยังไม่สามารถผ่าน Stage สุดท้ายได้<br>ข้อมูลจะไม่ถูกรีเซตแต่อย่างใด<br><br>ทำให้เมื่อท่านยืนยันตัวตนผ่าน Gate บน CampShip อีกครั้ง<br>ท่านจะสามารถเลือกเริ่มจาก Stage ถัดจาก Stage ที่ท่านเคยผ่านเมื่อครั้งก่อนแล้วได้ทันที<br><br><yellow>* ผู้ที่สามารถเลือก Stage ได้ ต้องเป็นหัวหน้า Party เท่านั้น<c>"""
text06#0,"""และหากสามารถผ่านทุก Stage แล้ว ข้อมูลจะถูกรีเซตใหม่หมด<br>ครั้งต่อไปท่านต้องเริ่มจาก Stage แรกเท่านั้น<br><br>แต่ท่านจะได้รับรางวัลพิเศษเป็นสิ่งตอบแทนเมื่อสามารถผ่านได้หมดทุก Stage<br><br><yellow>*การบันทึกหรือรีเซตข้อมูลของ Stage<br>จะมีผลกับสมาชิกทั้งหมดของ Party ที่ร่วมกันผ่าน Stage ณ เวลานั้น<br><br>*การเล่น Stage ที่ไม่เกี่ยวข้องกับ Stage ที่บันทึกข้อมูลไว้<br>จะไม่ส่งผลถึงการบันทึกหรือรีเซตข้อมูล<br><br>*Stage สุดท้ายจะมีการเพิ่มเติมอยู่เสมอ<c>"""
linewindow#1,"""<br>『エクストリームクエスト』ステージについて<br>"""
text00#1,"""『エクストリームクエスト』ステージについて"""
text03#1,"""「エクストリームクエスト」の「ステージ」について説明します。<br><br>テレプールからＶＲ空間にダイブすることで移動できるエリアは<br>「ステージ」と呼ばれる単位で構成されています。<br><br>「ステージ」を進めるには、ステージ内に出現するエネミーを<br>全滅させる必要があります。<br><br>５ステージ目までクリアすると、クエストクリアとなります。<br><br><yellow>※１回のプレイで進むことができるのは５ステージとなります。<c>"""
text04#1,"""「エクストリームクエスト」の開始方法について説明します。<br><br>「エクストリームクエスト」は機密性の高い訓練プログラムです。<br>開始するには、使用許可の下りていることの認証が必要となります。<br>認証は、キャンプシップ内のゲートにて<br>「エクストリームパス」を消費することで行われます。"""
text05#1,"""「エクストリームクエスト」は、５ステージ目をクリアするごとに<br>クリアしたステージを記録することができます。<br><br>１度クリアしたステージの記録は、最終ステージをクリアしない限り<br>リセットされることはありません。<br><br>これにより、次回からはゲートでの認証時に<br>記録されているクリアステージの次のステージから<br>スタートすることを選択できます。<br><br><yellow>※ステージを選択できるのはパーティーリーダーのみとなります。<c>"""
text06#1,"""最終ステージをクリアした際は、これまでの記録が<br>全てリセットされ、最初から始める必要があります。<br><br>そのかわり、最終ステージクリア後のイベントで<br>特別報酬をもらえます。<br><br><yellow>※クリアステージの記録やリセットが行われる対象は<br>連続したクリアステージの記録を持つメンバー全員です。<br><br>※クリアステージの記録と繋がっていないステージを<br>プレイした場合、記録やリセットが行われることはありません。<br><br>※最終ステージは定期的に拡張されます。<c>"""
