Title#0,"""Breakthru Practice:Dragon Altar"""
Explanation#0,"""Your current task is part of your combat training.<br>By competing for the best time on the way to your goal, I expect you to learn even better concentration.<br>You will be competing for time to the goal in the Amduskian Dragon Altar.<br>Also, to test your cooperative skills, I recommend undertaking this task as part of a party. <br>-------------------------------------------Failure conditions: Abandoning quest while incapacitated."""
Title#1,"""突破演習：龍祭壇"""
Explanation#1,"""本任務は、実戦演習の一環である。<br>目標到達までの任務時間を競い合うことで<br>より一層の精進を期待する。<br>惑星アムドゥスキアの龍祭壇内にて<br>目標対象の討伐時間を競う。<br>同時に、各員の共闘能力も測るため<br>本任務はパーティーを組んでの受注を<br>推奨とする。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択"""
SimpleExplanation#0,"""Reach the final area!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""Completion of certain client requests"""
a2#0,"""Completion of certain client requests"""
a3#0,"""Must have a license to accept Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
