Title#0,"""生於寂靜的混沌"""
Explanation#0,"""於被侵蝕的舊母船內部確認到了異常反應。<br>被捕捉做為被驗體的生物<br>似乎受到了什麼的影響而重新開始活動。<br>並非只有達卡，也確認到了海王種、龍族、原生種<br>機甲種的存在。<br>所有人員，請立刻出擊、調查狀況吧。<br>――――――――――――――――――――<br>得到任務點數【1400】即為成功<br>主要透過擊倒敵人來獲得點數"""
Title#1,"""静寂に生まれし混沌"""
Explanation#1,"""侵食された旧マザーシップ内部にて<br>異常な反応が確認された。<br>被験体として捕らえられていたものが<br>何らかの影響で活動を再開したようだ。<br>ダーカーだけでなく、海王種、龍族、原生種<br>機甲種の存在までもが確認されている。<br>各員、直ちに出撃し、状況を調査せよ。<br>――――――――――――――――――――<br>クエストポイント【1400】達成でクリア<br>主にエネミーの撃破でポイント獲得"""
SimpleExplanation#0,"""擊退敵人<br>獲得任務點數！"""
SimpleExplanation#1,"""エネミーを撃退し<br>クエストポイントをためろ！"""
a1#0,"""達成特定委託任務"""
a2#0,"""達成特定委託任務"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
