st_012035_0005#0,"""【姉想いの弟】<br>仮テキスト"""
st_012035_0010#0,"""<%me>さん<br>クーナさん、聞こえますか。"""
st_012035_0020#0,"""狙い通り、かの暴走龍は<br>スフィアアリーナ内に<br>留まっているようです。"""
st_012035_0030#0,"""いつまで効果があるかは<br>わかりませんが……"""
st_012035_0040#0,"""……大丈夫です。<br>歌が聞こえているうちは<br>あいつは動きません。"""
st_012035_0050#0,"""……それと、もう一つ<br>当事者のお二人には伝えておきたい<br>お話があります。"""
st_012035_0060#0,"""謎の暴走龍がどんどんと数を増し<br>かのハドレッドが暴走した<br>その原因について……"""
st_012030_om_0070#0,"""っ！？"""
st_012030_om_0080#0,"""結論から申し上げましょう。<br>研究室には、非常に非人道的な実験を<br>行っていた痕跡がありました。"""
st_012030_om_0090#0,"""最初は造龍を対象にしていたようですが<br>ロクに制御できず、暴走してばかり……"""
st_012030_om_0100#0,"""次第に、実験の対象は、制御の容易な<br>人体となっていったようです。<br>これだけでも由々しきことですが……"""
st_012030_om_0110#0,"""……さらに実験は続き<br>人や造龍などの被検体に課される<br>実験は過酷なものになっていった。"""
st_012030_om_0120#0,"""その実験の仔細については<br>さすがに失われていましたが<br>……大まかな情報だけで十分でしょう。"""
st_012030_om_0130#0,"""しかし、研究は進展しない。<br>造龍は容易に暴走し、人は限界を<br>なかなか超えることが出来ない。"""
st_012030_om_0140#0,"""そして、一つの事故が起こります。"""
st_012030_om_0150#0,"""人に行う予定だった新たな実験が<br>かの龍……ハドレッドを対象として<br>行われたのです。"""
st_012030_om_0160#0,"""結果は当然。<br>ハドレッドは、元より持っていた<br>その力を暴走させ、研究室を……"""
st_012030_om_0170#0,"""……人に、行う予定だった。"""
st_012035_0070#0,"""いえ、説明は不要です<br>六芒均衡カスラ。"""
st_012035_0080#0,"""わたしは知っている……いえ<br>聞いたことがある。覚えている。"""
st_012035_0090#0,"""研究室の崩壊……ハドレッドの暴走……<br>非人道的な人体実験……"""
st_012035_0100#0,"""ううん、そんなことはどうでもいい。"""
st_012035_0110#0,"""ハドレッドが……あいつが<br>わたしを守るために、己の身を<br>捨てたということを……！"""
st_012035_0120#0,"""そう……ですか。<br>では、奮戦を期待していますよ。"""
st_012035_0130#0,"""行きましょう<br><%me>さん。<br>ハドレッドが待っています。"""
st_012035_0140#0,"""A.P.238/4/15/11:00"""
