un_061090_0010#0,"""それにしても、フォトナーたち<br>とっても強かったね。"""
un_061090_0020#0,"""シバやミトラたちもそうだけど<br>フォトンが吸収されちゃうみたいで<br>攻撃がほとんど通じなかった。"""
un_061090_0030#0,"""あのフォトン吸収って<br>フォトナーなら誰でもできるのかな？"""
un_061090_0040#0,"""おそらくですが……<br>あれはシバの加護です。"""
un_061090_0050#0,"""シバの、加護……？"""
un_061090_0060#0,"""はい、シバ以外のフォトナーには<br>フォトンを吸収する能力はありません。"""
un_061090_0070#0,"""あれは、すべてのフォトンを<br>受け容れる目的のために生まれた<br>シバ固有の能力です。"""
un_061090_0080#0,"""シバは、その能力を……<br>『終の女神の加護』として、仲間の<br>フォトナーに分け与えているようです。"""
un_061090_0090#0,"""ということは、シバの仲間たちは<br>みんなフォトンを吸収する能力を<br>持ってるってこと？"""
un_061090_0100#0,"""ええ、そうなります。<br>とは言え、その能力も個人差があり<br>無敵というわけではなさそうです。"""
un_061090_0110#0,"""えっ、そうなの？"""
un_061090_0120#0,"""はい、吸収できるフォトン量は<br>本人が扱えるフォトン許容量の上限を<br>超えられないようです。"""
un_061090_0130#0,"""つまり、敵の許容量を超えるフォトンで<br>攻撃することができれば、吸収しきれず<br>ダメージを与えられるはずです。"""
un_061090_0140#0,"""その証拠に、貴方たちは<br>フォトナーの兵を倒すことが<br>できたでしょう？"""
un_061090_0150#0,"""あ、うん。<br>たしかに、強かったけど倒せたね。"""
un_061090_0160#0,"""ということは<br>シバのフォトン許容量を上回る力で<br>攻撃ができれば……"""
un_061090_0170#0,"""ええ、可能性はあります。"""
un_061090_0180#0,"""しかし……<br>シバは【深遠なる闇】そのもの。"""
un_061090_0190#0,"""すべてのフォトンを受け容れるべく<br>造られた存在です。"""
un_061090_0200#0,"""【深遠なる闇】の膨大なフォトンを<br>上回る力を身につけるというと……"""
un_061090_0210#0,"""それは……<br>とっても難しいこと……だね。"""
