Title#0,"""独極訓練：異界と超界"""
Explanation#0,"""こちらは相応の実力を持つ者を対象とした<br>特別訓練プログラムである。的確な判断を<br>瞬時に下せる技術を身に付けるため、全て<br>「単独」で行い本プログラムを制覇せよ。<br>なお、危険性の高い訓練プログラムのため<br>「エクストリームパス」が必要となる。<br>――――――――――――――――――――<br>ダークブラスト使用不可<br>スケープドール・ハーフドール使用禁止<br>失敗条件/戦闘不能 """
SimpleExplanation#0,"""５つのステージを制覇せよ！"""
Area0S#0,"""VR空間(極) エリア"""
Area0L#0,"""VR空間(極) エリア"""
Area1S#0,""" VR空間(極) エリア"""
Area1L#0,""" VR空間(極) エリア"""
Area2S#0,""" VR空間(極) エリア"""
Area2L#0,""" VR空間(極) エリア"""
Area3S#0,""" VR空間(極) エリア"""
Area3L#0,""" VR空間(極) エリア"""
Area4S#0,""" VR空間(極) エリア"""
Area4L#0,""" VR空間(極) エリア"""
Area5S#0,""" VR空間(極) エリア"""
Area5L#0,""" VR空間(極) エリア"""
Area6S#0,""" VR空間(極) エリア"""
Area6L#0,""" VR空間(極) エリア"""
Area7S#0,""" VR空間(極) エリア"""
Area7L#0,""" VR空間(極) エリア"""
Area8S#0,""" VR空間(極) エリア"""
Area8L#0,""" VR空間(極) エリア"""
Area9S#0,""" VR空間(極) エリア"""
Area9L#0,""" VR空間(極) エリア"""
Area10S#0,""" VR空間(極) エリア"""
Area10L#0,""" VR空間(極) エリア"""
QuestInfoAreaName#0,""" VR空間(極)"""
a2#0,"""エクストリームパス\u3000１個の<br>支払いがキャンプシップにて必要。"""
