text01#0,"""Ranger กับ Assault Rifle นั้นเรียกว่าเป็นคู่ที่ขาดกันไม่ได้เลย"""
text02#0,"""หลายคนคิดว่าอาวุธปืนถือเป็นอาวุธระยะไกล <br>แต่เพราะเราสามารถใช้มันยิงขณะเคลื่อนที่ได้ <br>ดังนั้นมันจึงเป็นอาวุธที่ใช้ได้ทุกระยะ"""
text03#0,"""ถึงแม้พลังโจมตีจะไม่รุนแรงมาก <br>แต่มันก็เพียงพอแล้วล่ะเนอะ ฮิๆ<br>ลองนึกภาพเอาปืนจ่อไปที่จุดอ่อนของศัตรูดูซิ"""
text04#0,"""เพราะงั้นลองใช้ Assault Rifle ดูหน่อยไหม?<br>เอาของชั้นไปใช้ซิ ถนอมๆมันหน่อยล่ะ"""
text05#0,"""แทนที่จะมานั่งเรียนรู้มันแล้ว ลองเอาไปปฏิบัติจริง<br>อย่างเช่นการยิงร่างกายของศัตรูให้ตายอย่างทรมาณ<br>จะดีกว่านะ"""
text06#0,"""Assault Rifle"""
text07#0,"""Assault Rifle เป็นอาวุธระยะไกลพื้นฐาน<br>ที่แม้แต่มือใหม่ก็สามารถใช้โจมตีจากระยะไกลได้ง่าย"""
text08#0,"""ลองใช้การโจมตีระยะใกล้พื้นฐานด้วย Assault Rifle พร้อมกับ Photon Move"""
text01#1,"""レンジャーといえば、アサルトライフル<br>代名詞というやつですねえ。"""
text02#1,"""遠距離用の武器と思われがちですが<br>移動しながらでも撃てますから<br>全距離対応と言っていいですよお。"""
text03#1,"""攻撃力はちょっと控えめですけど<br>それがいいんですよねえ……ふふっ。<br>弱点狙えばいいだけですし。"""
text04#1,"""アサルトライフル使ってみるのです？<br>なら、これをあげますよお。<br>リサの使ってた、いわくつきです。"""
text05#1,"""いろいろお勉強するよりも、実際に<br>触って撃って苦しめて殺した方が<br>さくっと身につきますからねえ。"""
text06#1,"""『アサルトライフル』について"""
text07#1,"""「アサルトライフル」について、説明します。<br><br>アサルトライフルは、離れた場所から攻撃できる<br>初心者にも扱いやすいスタンダードな射撃武器です。"""
text08#1,"""アサルトライフル系の射撃モード基本攻撃と<br>フォトンアーツの動きを確認してみましょう。"""
