ra_010520_0010#0,"""ว่าไง<br><%me> คุง"""
ra_010520_0020#0,"""เมื่อวันก่อนชั้นรบกวนอะไรเธอหลายๆ อย่างเลยสินะ<br>แต่ก็เพราะเธอการวิจัยถึงกำลังคืบหน้าด้วยดี<br>ที่เหลือก็มีเพียงแค่ข้อมูลสรุปในขั้นสุดท้ายเท่านั้น"""
ra_010520_0030#0,"""แล้วทีนี้ ชั้นก็เลยมีเรื่องที่อยากจะปรึกษา<br>เธอเกี่ยวกับเรื่องวิจัยนั่นซักหน่อย"""
ra_010520_0040#0,"""......คือชั้นอยากจะให้เธอไปที่ Cauldron<br>ด้วยกันกับชั้นในตอนที่เธอว่างน่ะ"""
ra_010520_0050#0,"""ชั้นไม่ต้องบอกจุดสงค์เธอก็คงจะรู้ใช่มั้ย?<br>ถ้าเป็นเธอล่ะก็น่าจะต้องรู้อยู่แล้วแน่ๆ<br>ถ้างั้น ก็ฝากด้วยล่ะ"""
ra_010520_0060#0,"""A.P.238/3/18"""
ra_010520_0010#1,"""やあ<br><%me>くん。"""
ra_010520_0020#1,"""先日はいろいろと迷惑をかけたね。<br>おかげで研究も進んでいる。<br>あとは、決定的なデータだけだ。"""
ra_010520_0030#1,"""で、その研究のことで<br>折り入って相談がある。"""
ra_010520_0040#1,"""……キミの都合がつくときに<br>火山洞窟で落ち合いたい。"""
ra_010520_0050#1,"""目的は言わなくてもわかるだろう？<br>キミならばわかってくれるはずだ。<br>では、よろしく頼むよ。"""
ra_010520_0060#1,"""A.P.238/3/18"""
