name01#0,"""シエラ"""
text01#0,"""続けて、<red>ソードギア<c>について<br>説明します！"""
text02#0,"""ソードギアの段階が上がると<br><red>フォトンアーツの強化やチャージ時間の<br>短縮<c>などの効果が得られるんですよ！"""
text03#0,"""それでは、<red>ギアを２段階以上<c>にして<br>フォトンアーツを撃ってみましょう。"""
text101#0,"""課題３：<yellow>ギアを２段階以上ためてフォトンアーツ発動"""
train_title#0,"""課題３：<yellow>ギアを２段階以上ためてフォトンアーツ発動"""
tut_title#0,"""ソードギアについて"""
text100#0,"""・エネミーを攻撃してギア２段階以上ためる<br>・<%PhotonArts>でフォトンアーツを発動"""
text100_3b#0,"""・エネミーを攻撃してギア２段階以上ためる<br>・<%PhotonArts>でフォトンアーツを発動"""
tut_win_title#0,"""『ソードギア』について"""
tut_win_text100#0,"""クラススキル「ソードギア」を<br>習得しているとソードの性能を<br>更に引き出すことができます。<br><br>攻撃することでギア２、ギア３と<br>上昇していきます。<br><br>ソードギアの段階が上昇すると<br>フォトンアーツの強化やチャージ時間の<br>短縮などの効果を得ることができます。"""
