ssc_505030_0010#0,"""あっ、<%me>さん。<br>いいところに。"""
ssc_505030_0020#0,"""この先に見えるスティアリージョンについて、<br>レポートを作成しようと思っていまして。"""
ssc_505030_0030#0,"""もしよければ、<br>すこしだけ聞いてもらえますか？"""
ssc_505030_0040#0,"""ぜひ。"""
ssc_505030_0050#0,"""スティアリージョン？"""
ssc_505030_0060#0,"""わかりました。<br>それではお話ししますね。"""
ssc_505030_0070#0,"""エアリオ、リテム、クヴァリスに次ぐ、<br>４番目のリージョンのことです。"""
ssc_505030_0080#0,"""ハルフィリア湖の先にある巨大な火山島が、<br>スティアリージョンです。"""
ssc_505030_0090#0,"""そのスティアには、<br>クヴァリスと同じく、先遣隊が展開しています。"""
ssc_505030_0100#0,"""ただ、進出してから何年も経つのですが、<br>あまり大きな動きがない状態が続いていました。"""
ssc_505030_0110#0,"""問題は３つあって……。"""
ssc_505030_0120#0,"""ひとつは、内部の地形がとても複雑なこと。"""
ssc_505030_0130#0,"""もうひとつは、<br>強力なドールズが多数確認されていること。"""
ssc_505030_0140#0,"""最後のひとつは、セントラルシティ側と、<br>先遣隊との連携が、うまくいっていないことです。"""
ssc_505030_0150#0,"""……スティアの内部は、多層構造になっていて、<br>エネルギープラントなどが見られます。"""
ssc_505030_0160#0,"""その一部では、<br>ドールズの生産が行われているようなんです。"""
ssc_505030_0170#0,"""ドールズの……生産？"""
ssc_505030_0180#0,"""誰がドールズを作っている？"""
ssc_505030_0190#0,"""はい……。"""
ssc_505030_0200#0,"""それは……。"""
ssc_505030_0210#0,"""詳しくは、先遣隊の報告待ちなのですが、<br>連絡が滞っていて……。"""
ssc_505030_0220#0,"""先遣隊は、そのドールズの生産拠点の調査と、<br>可能であれば破壊を目的としています。"""
ssc_505030_0230#0,"""ですが、クロフォードさんは、まだ時期が早いと言って、<br>先遣隊の活動に賛同していませんでした。"""
ssc_505030_0240#0,"""各リージョンの防衛を強化しないといけない。<br>かといってスティアのドールズも野放しにできない。"""
ssc_505030_0250#0,"""どちらの意見も正しいはずですが、<br>それを両立させるだけの戦力が、私たちにはなかったんです。"""
ssc_505030_0260#0,"""スティアには、なにか大きな秘密があると言われつつ、<br>大きなアクションは起こせずにいました。"""
ssc_505030_0270#0,"""でも、そうした状況も、<br>ようやく解消されそうです。"""
ssc_505030_0280#0,"""リテムのアークスとの協力関係が築かれ、<br>クヴァリスへの進出も果たされました。"""
ssc_505030_0290#0,"""セントラルキャノンの改良も、<br>急ピッチで進んでいます。"""
ssc_505030_0300#0,"""みなさんの活躍のおかげで。"""
ssc_505030_0310#0,"""必然的に、これからは、<br>スティアへの対応が重点的に進められることになります。"""
ssc_505030_0320#0,"""大きな戦いが予想されるので、<br>入念な準備が必要です。"""
ssc_505030_0330#0,"""微力ながら、私たちも、<br>できる限りのことはしておきたいと思っています。"""
ssc_505030_0340#0,"""なにか進展がありましたら、<br><%me>さんにもお伝えしますね。"""
