IncidentName#0,"""ปกป้อง Lagomite!"""
TrialBeginMsg#0,"""จงปกป้อง Lagomite จากภัยอันตราย!"""
TrialAbstract#0,"""จงปกป้อง Lagomite จากภัยอันตราย!"""
IncidentName#1,"""リリーパ族を防衛せよ！"""
TrialBeginMsg#1,"""危険にさらされている<br>リリーパ族を守り切れ！"""
TrialAbstract#1,"""危険にさらされている<br>リリーパ族を守り切れ！"""
NpcComOnBegin#0,"""/face4 อ่า! Lagomite พวกนั้นถูกจับไปโดยพวก Gilnas!<br>ท่านต้องไปช่วยพวกมัน แต่ระวังด้วยล่ะ มันกำลังจะระเบิดแล้ว!"""
NpcComOnAfterBegin#0,"""/face4 อย่าโจมตี Gilnas ตัวนั้น!<br>จงปกป้องพวก Lagomite จนกว่าพวกมันจะหลบหนีไปได้!"""
NpcComOnSuccess#0,"""/face2 ดูเหมือนพวก Lagomite หนีไปได้แล้ว ดีจริงๆ<br>ทำได้ดีมาก!"""
NpcComOnFailure#0,"""พวก Lagomite ถูกส่งลอยไปแล้ว...<br>หวังว่าบางทีพวกมันคงจะไม่เป็นอะไรมากนะ"""
NpcComOnFirstDamage#0,"""/face3 เดี๋ยว!! หยุดก่อน!<br>ถ้าโจมตี Gilnas ต่อไปล่ะก็จะทำให้มันระเบิดนะ!"""
NpcComOnPinch#0,"""/face4 ถ้า Gilnas รับความเสียหายมากกว่านี้ มันจะระเบิดออกมา<br>พวก Lagomite นั้นคงต้องต้องแย่แน่ๆ!<br>จงปกป้องพวกมันโดยไม่ทำให้ Gilnas ระเบิด!"""
NpcComOnBegin#1,"""/face4 あっ、ああっ！\u3000リリーパ族がギルナスに<br>捕まってますー！\u3000助けてあげてー……<br>ってダメです！\u3000爆発寸前ですー！"""
NpcComOnAfterBegin#1,"""/face4 あのギルナスは攻撃したらダメですー！<br>リリーパ族が自力で<br>脱出するまで、守ってあげてください！"""
NpcComOnSuccess#1,"""/face2 リリーパ族はなんとか逃げられた<br>ようですよー。よかったです。<br>お疲れ様でしたー！"""
NpcComOnFailure#1,"""リリーパ族……どこかに吹き飛んで<br>いっちゃいましたね……<br>たぶん、無事だとは思うんですが……"""
NpcComOnFirstDamage#1,"""/face3 だだっ、ダメですよー！<br>ギルナスは攻撃されると損傷して<br>爆発しちゃいますからねー！"""
NpcComOnPinch#1,"""/face4 こ、これ以上ギルナスが損傷すると<br>爆発して、リリーパ族が危ないですー！<br>刺激しないよう守ってあげて下さいー！"""
