msc_014280_0010#0,"""……おかしい。"""
msc_014280_0020#0,"""ロックは解除したのだけれど……、<br>何の変化もないわ……。"""
msc_014280_0030#0,"""中央の障壁が解除されない……。<br>どういうことかしら……。"""
msc_014280_0040#0,"""マノンさん……、<br>クロフォードさんから通信です。"""
msc_014280_0050#0,"""クロフォード？"""
msc_014280_0060#0,"""こちらが送ったデータについて、<br>解析が済んだようです。"""
msc_014280_0070#0,"""助かるわ。"""
msc_014280_0080#0,"""スティアリージョンで作戦中のアークスから<br>送られたデータを解析した結果……。"""
msc_014280_0090#0,"""中央の本拠地……。<br>仮に“スティア中枢部”と呼ぼうか。"""
msc_014280_0100#0,"""ここに入るには、もう一箇所<br>端末からアクセスして、ロックを解除しないといけないみたいだ。"""
msc_014280_0110#0,"""ええ、でもその端末の場所と制御方法がわからなくて……。"""
msc_014280_0120#0,"""それについては、彼がなにか、突き止めたらしくてね"""
msc_014280_0130#0,"""マノン！"""
msc_014280_0140#0,"""えっ、イルマ？"""
msc_014280_0150#0,"""最後の端末の場所とそれを<br>制御する方法なんだけど……。"""
msc_014280_0160#0,"""今からキミのマグにデータを送る！<br>その要領でやってみて！"""
msc_014280_0170#0,"""端末情報に合わせて適切な配列を選ぶ必要があるけど<br>キミならきっとできるよ！"""
msc_014280_0180#0,"""じゃあ、僕は解析に戻るよ。<br>またね！"""
msc_014280_0190#0,"""イルマに相当気に入られたみたいだね。"""
msc_014280_0200#0,"""僕もキミなら大丈夫だと信じているよ。"""
msc_014280_0210#0,"""クロフォード……。"""
msc_014280_0220#0,"""ダークファルスは<br>スティア中枢部に眠っているに違いない……。"""
msc_014280_0230#0,"""キミたちばかりに大変な思いをさせてすまない。<br>僕たちも準備を進めている。もう少し、持ちこたえてくれ。"""
msc_014280_0250#0,"""負傷兵の搬送と治療が終わりました。<br>私たちはこれよりスティア中枢部へ移動します。"""
msc_014280_0260#0,"""わかった。<br>こっちも作業を続けるわ。"""
msc_014280_0270#0,"""では。"""
name01#0,"""エアリオ遠征隊レンジャー"""
name02#0,"""エアリオ遠征隊フォース"""
name03#0,"""スティア先遣隊ハンター"""
name04#0,"""スティア先遣隊ファイター"""
