MapName_1#0,"""初めての戦争"""
MapName_2#0,"""2回目の戦争"""
Grassland#0,"""クエント草原"""
Camp#0,"""クエント革命軍\u3000野営地"""
RevBase#0,"""クエント\u3000南方都市"""
Cuent_Castle#0,"""クエント王都"""
Cuent_Castle_Sub#0,"""クエント王都\u3000郊外"""
Cuent_NewCastle#0,"""クエント新王都"""
Verunian_Castle#0,"""ヴェルン帝都"""
Verunian_Castle_Village#0,"""ヴェルン\u3000南方集落"""
Grassland2#0,"""クエント中央平原"""
Verunian_Devils_Castle_Border#0,"""クエント-ヴェルン国境線"""
Verunian_Wasteland#0,"""ヴェルン荒野"""
Verunian_frontier#0,"""ヴェルン辺境"""
RevBase_qc#0,"""クエント革命軍\u3000本拠地"""
Cuent_Castle_after#0,"""クエント城跡"""
Epic_border_fort#0,"""国境の砦"""
Epic_border_village#0,"""国境の村"""
Epic_Castle#0,"""エピック王都"""
Epic_fort_east#0,"""東の砦"""
Epic_fort_north#0,"""北の砦"""
Epic_fort_south#0,"""南の砦"""
Epic_fort_west#0,"""西の砦"""
Cuent_Luisa#0,"""ルイーザ"""
Mine_region1#0,"""クエント峡谷"""
Mine_region2#0,"""ルーサー研究施設"""
Mine_region3#0,"""クエント峡谷カルデラ湖"""
secret#0,"""？？？"""
Epic_Desert#0,"""エピック砂漠"""
Epic_DesertCave#0,"""砂漠洞窟"""
Es_ars_Castle#0,"""イス＝アルス首都"""
Es_ars_Castle_Sub#0,"""イス＝アルス首都近郊"""
Es_ars_Border#0,"""クエント-イス＝アルス国境線"""
Es_ars_canyon#0,"""イス＝アルス峡谷"""
Es_ars_Border2#0,"""クエント-イス＝アルス国境付近"""
Blackcocoon#0,"""黒き繭"""
Cuent_East_Grassland#0,"""クエント東部の草原"""
