name_7258#0,"""Arche"""
msn_016000_002_0000#0,"""Looks like you arrived! That, my friend, is what we're calling a Creative Space."""
msn_016000_002_0001#0,"""According to the data, there's probably a countless number of similar such \""islands\"" that exist."""
msn_016000_002_0002#0,"""So that island is like your own little humble abode! Well? Pretty cool, huh?"""
msn_016000_002_0003#0,"""You can do whatever you want with it!"""
msn_016000_002_0004#0,"""Oh, right, yeah. See that building in front of you?"""
msn_016000_002_0005#0,"""I made that one myself. Pretty good, don'tcha think?"""
msn_016000_002_0006#0,"""Feel free to use it however ya want. You could even just get rid of it if you want, that's okay too!"""
msn_016000_002_0007#0,"""First, I'll teach you how to manipulate objects that are in your island!"""
Guide_1#0,"""Switch to Edit Mode:"""
Guide_2#0,"""<%MainPaletteC>"""
