11_voice_NPC_5026_100#0,"""โอ..ท่านทำได้ดีมากเลย ข้าเห็นรายงานแล้ว<br>การกวาดล้างพวกมันช่างสวยงามจริงๆ! """
text02#0,"""ท่านได้วิ่งไปยิงไป เปลี่ยนแม็กกาซีนไป <br>นั่นเป็นภาพที่สวยงามจริงๆ<br>นั่นล่ะวิธีการใช้ Rifle อย่างถูกต้อง!"""
text03#0,"""ดูเหมือน Rifle จะเหมาะกับท่านมาก<br>ทำไมท่านไม่เก็บเอาไว้ใช้ล่ะ?"""
text04#0,"""ข้าพอใจกับรายงานฉบับนี้มาก ดังนั้น..."""
11_voice_NPC_5026_101#0,"""จงทำดีต่อไป และทำให้แน่ใจว่าศัตรู<br>จะต้องทรมาณที่สุดก่อนมันจะตาย"""
linewindow001#0,"""ตอนนี้ท่านสามารถเชิญ Risa มาเป็นพาร์ทเนอร์ได้แล้ว"""
text100#0,"""Client Order"""
text101#0,"""Joseph ได้ออก Client Order<br><br>ท่านสามารถพบเขาได้ที่ประตูด้านบน"""
11_voice_NPC_5026_100#1,"""ふふ……お疲れ様でしたあ。<br>報告も見ましたよお。<br>すばらしい……と思わず震えますねえ。"""
text02#1,"""アサルトライフルの特長である<br>移動射撃の有効活用や、弾倉変更。<br>鑑というべき動きですよお。"""
text03#1,"""そのアサルトライフルも<br>あなたの手に馴染んでいるようですし<br>そのまま持っていってくださいねえ。"""
text04#1,"""わたしは、この報告を見ることが<br>出来ただけで満足ですからねえ。"""
11_voice_NPC_5026_101#1,"""それでは、今後もアサルトライフルを<br>上手く使って、敵さんをいっぱい<br>たくさん苦しめてあげてくださいねえ。"""
linewindow001#1,"""<br>リサをパートナーとして呼べるようになりました。<br>"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""ジョーゼフにクライアントオーダーが発生しました。<br><br>ジョーゼフはゲートエリア2階にいます。"""
