st_012040_0005#0,"""[Haddred's Silence]<br>ข้อความชั่วคราว"""
st_012040_0010#0,"""Haddred!<br>หยุดนะ! อย่าไป ห้ามไปนะ!"""
st_012040_0020#0,"""ที่นั่น ตอนนั้น นายเจออะไร!<br>นายตั้งใจจะทำอะไรกันแน่!"""
st_012040_0030#0,"""อึก..หยุดก่อน......!<br>อย่าเพิ่งไป! Haddred!<br>Haddred!!"""
st_012040_0040#0,"""ดูท่าเราจะไม่มีเวลาให้เล่นบทเศร้ากันแล้วนะครับ"""
st_012040_0050#0,"""พวก D-arkers ที่เจ้ามังกรนั่นทิ้งไว้สินะ<br>กลายเป็นเรื่องยุ่งยากซะแล้วสิ"""
st_012040_0060#0,"""A.P.238/4/15/11:30"""
st_012040_0005#1,"""【答えぬハドレッド】<br>仮テキスト"""
st_012040_0010#1,"""ハドレッドッ！<br>待て！\u3000行くな、行かないで！"""
st_012040_0020#1,"""あの時あの場所で、何があった！<br>あんたは何をしようとしてたの！"""
st_012040_0030#1,"""くっ、待って……！<br>待ちなさい！\u3000ハドレッド！<br>ハドレッド！！"""
st_012040_0040#1,"""感傷に浸っているような<br>暇はないようですよ。"""
st_012040_0050#1,"""かの龍に追い立てられた<br>ダーカーですかね。<br>なんとも迷惑なことだ。"""
st_012040_0060#1,"""A.P.238/4/15/11:30"""
