st_063030_0020#0,"""<%me>、二代目ちゃん。<br>おかえりー。"""
st_063030_0030#0,"""アルマさん！<br>もう身体は大丈夫なの？"""
st_063030_0040#0,"""完調、とはいかないけどねー。<br>シャオくん、戻ってきたんだし<br>わたしも寝てばっかりいられないかな。"""
st_063030_0050#0,"""敵勢力の出現予測は、こうだ。<br>市街地に転送予兆、どうやらまた<br>直接乗り込んでくる気らしい。"""
st_063030_0060#0,"""フォトンの感じ的には偵察っぽいかな？<br>本気で来るなら<br>もちっとびびびっとするもの。"""
st_063030_0070#0,"""しかし、来ることさえわかっていれば<br>対策の打ちようはあります！"""
st_063030_0080#0,"""こちらの動きも予測されてるだろうけど<br>出現直後に迎撃、となれば<br>多少の不意はつけるはず。"""
st_063030_0090#0,"""つまり、最初の一撃が重要だ。<br>その一番槍を、君たちに任せたい。"""
st_063030_0100#0,"""任せて"""
st_063030_0110#0,"""自信がないかも"""
st_063030_0120#0,"""うん。<br>わたしも……一緒に頑張る！"""
st_063030_0130#0,"""……大丈夫だよ、<%me>。<br>わたしも一緒に、頑張るから！"""
st_063030_0140#0,"""それじゃ頼んだよ、二人とも。"""
