name01#0,"""崴蒂亞"""
text00#0,"""謝謝耶～！<br>幫大忙啦～"""
text01#0,"""OK、OK！<br>下次也麻煩你囉～"""
text02#0,"""做好了呢！<br>感謝感謝！"""
text03#0,"""太好了太好了，等很久了！<br>謝謝！"""
text04#0,"""嗯嗯，辛苦你了！<br>真的非常謝謝！"""
text05#0,"""做得真好，做得真好呢！<br>下次再拜託你囉！"""
text06#0,"""辛苦了！<br>嗯嗯，謝謝吶！"""
text07#0,"""等很久囉！<br>很好很好，做得不錯！"""
text08#0,"""做得真好，做得真好！<br>謝謝。"""
text09#0,"""辛苦了！<br>跟委託的內容一樣呢，謝謝～！"""
text00#1,"""好～厲害，好厲害！<br>感覺比當初委託的還要好啊！<br>謝謝～！"""
text01#1,"""哇～喔！　真是好技術！<br>交給你真是太好了！<br>務必務必，下次也麻煩你啦～"""
text02#1,"""很好，很好！<br>太棒了！<br>謝謝。"""
text03#1,"""真棒！<br>真厲害真厲害。<br>下次再拜託你囉！"""
text04#1,"""真努力啊，不錯不錯！<br>幫了我好大的忙！<br>下次也請多指教囉！"""
text05#1,"""哎唷哎唷！<br>真厲害呢，太棒了！<br>拜託你真是太好了！"""
text06#1,"""欸欸！？<br>不錯，不錯！<br>比我所要求的還要好呢。"""
text07#1,"""哦哦！？<br>真厲害真厲害！<br>真的謝謝你！"""
text08#1,"""哇啊！<br>竟然可以做得這麼好！<br>太棒啦～！"""
text09#1,"""傑作，傑作啊！<br>謝謝。<br>真的，幫大忙了！"""
