name01#0,"""Afin"""
name01#1,"""アフィン"""
text00#0,"""ไงเพื่อนรัก ได้แล้วเหรอ !<br>ขอบใจนะ ช่วยได้เยอะเลย"""
text01#0,"""ขอบใจมาก เพื่อนรัก !<br>คิดถูกจริงๆที่ขอให้ช่วยเนี่ย !"""
text02#0,"""โอ๊ะ เสร็จแล้วสินะ !<br>เหมือนที่ขอเป๊ะ ขอบใจมากนะ !"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""相棒、お疲れ！<br>助かったよ、ありがとな。"""
text01#1,"""ありがとな、相棒！<br>頼んで良かったよ、助かった！"""
text02#1,"""お、出来たみたいだな！<br>期待通りだ、ありがとな！"""
text03#1,"""ありがとう03"""
text00#2,"""ฮู้ว ยอดไปเลยเพื่อน !<br>เจ๋งกว่าที่บอกซะอีก !<br>แต๊งกิ้วนะ !"""
text01#2,"""โอ๊ะ ขอบคุณมากเพื่อนรัก !<br>ยอดไปเลย ทำได้ไงเนี่ย !<br>สบายแล้วเรา แต๊งกิ้วมากๆ !"""
text02#2,"""เจ๋งสุดๆไปเลยเพื่อน !<br>เยี่ยมกว่าที่คิดไว้เยอะเลย !<br>ทุ่นแรงไปเยอะ แต๊งกิ้วมากๆนะ !"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""ひゅー、さすが相棒！<br>頼んだ以上のもんだよ、これ！<br>サンキューな！"""
text01#3,"""おっ、相棒！\u3000お疲れ！<br>すっげえなぁ、これ！<br>助かったよ、ありがとな！"""
text02#3,"""さすがだな、相棒！<br>予想以上だって、ホント！<br>助かった、サンキュな！"""
text03#3,"""本当にありがとう03"""
