luck1#0,"""運勢"""
luck2#0,"""運勢"""
luck3#0,"""運勢"""
luck4#0,"""運勢"""
NameF#0,"""$(0)の$(1)"""
result1#0,"""{red}〇願望\u3000［大運Ｎｏ．１‐Ａ］<br>{def}あらゆることが好調に進むでしょう。<br>あなたの夢も叶うはずです。"""
result2#0,"""{red}〇友情\u3000［大運Ｎｏ．２‐Ａ］<br>{def}良い仲間に巡り合えます。<br>新たな出会いを大切にしましょう。"""
result3#0,"""{red}〇冒険\u3000［大運Ｎｏ．３‐Ａ］<br>{def}あなたの進む道に障害はありません。<br>向かうところ敵なしでしょう。"""
result4#0,"""{red}〇娯楽\u3000［大運Ｎｏ．４‐Ａ］<br>{def}大勝の兆しがあります。<br>一攫千金を狙えます。"""
result5#0,"""{red}〇研究\u3000［大運Ｎｏ．５‐Ａ］<br>{def}大成功の嵐です。<br>最良の結果に恵まれるでしょう。"""
result1#1,"""{red}〇願望\u3000［中運Ｎｏ．１‐Ｂ］<br>{def}意外なところで<br>思いがけず願いが叶うでしょう。"""
result2#1,"""{red}〇友情\u3000［中運Ｎｏ．２‐Ｂ］<br>{def}老若男女を問わず<br>垣根を越えた友情を得られるでしょう。"""
result3#1,"""{red}〇冒険\u3000［中運Ｎｏ．３‐Ｂ］<br>{def}自分らしい戦い方ができれば<br>良い結果に恵まれるでしょう。"""
result4#1,"""{red}〇娯楽\u3000［中運Ｎｏ．４‐Ｂ］<br>{def}運気の上昇により<br>勝率が格段に上がるでしょう。"""
result5#1,"""{red}〇研究\u3000［中運Ｎｏ．５‐Ｂ］<br>{def}努力が報われます。<br>今こそあなたの腕の見せどころです。"""
result6#0,"""{red}〇願望\u3000［小運Ｎｏ．１‐Ｃ］<br>{def}ありのままのあなたが大切です。<br>新たな出会いを大切にしましょう。"""
result7#0,"""{red}〇友情\u3000［小運Ｎｏ．２‐Ｃ］<br>{def}仲間との絆を大切にしましょう。<br>困った人を助けると運気上昇です。"""
result8#0,"""{red}〇冒険\u3000［小運Ｎｏ．３‐Ｃ］<br>{def}混乱に巻き込まれそうですが<br>良い結果を得られるでしょう。"""
result9#0,"""{red}〇娯楽\u3000［小運Ｎｏ．４‐Ｃ］<br>{def}結果は後からついて来ます。<br>損得を気にせず楽しみましょう。"""
result10#0,"""{red}〇研究\u3000［小運Ｎｏ．５‐Ｃ］<br>{def}安定している時期です。<br>前向きに研究に励むと運気上昇です。"""
result1#2,"""{red}〇願望\u3000［凶運Ｎｏ．１‐Ｄ］<br>{def}今は耐える時です。<br>果報は寝て待ちましょう！"""
result2#2,"""{red}〇友情\u3000［凶運Ｎｏ．２‐Ｄ］<br>{def}良い行いを心がけ<br>謙虚な姿勢を大切にしましょう！"""
result3#2,"""{red}〇冒険\u3000［凶運Ｎｏ．３‐Ｄ］<br>{def}最後まで気を抜かずに<br>慎重な行動を心がけましょう！"""
result4#2,"""{red}〇娯楽\u3000［凶運Ｎｏ．４‐Ｄ］<br>{def}大損の兆しがあります。<br>欲は捨てた方が良いでしょう！"""
result5#2,"""{red}〇研究\u3000［凶運Ｎｏ．５‐Ｄ］<br>{def}努力が実りにくいですが<br>あせらずに辛抱づよく続けましょう！"""
FullSize_Help#0,"""<c f0df60>運をためす事ができる不思議な祠です。<c>"""
Child_Menu1#0,"""運をためす"""
Child_Menu2#0,"""戻る"""
