ssc_502010_0010#0,"""……ふう。"""
ssc_502010_0020#0,"""お疲れさま。"""
ssc_502010_0030#0,"""なにか悩みごと？"""
ssc_502010_0040#0,"""……きゃっ!?"""
ssc_502010_0050#0,"""……ふぇ!?"""
ssc_502010_0060#0,"""お、驚いたわ。<br>あなたも、来ていたのね……。"""
ssc_502010_0070#0,"""気配に気づかないほど、ぼんやりしていたのかしら。<br>我ながら油断していたわね。"""
ssc_502010_0080#0,"""……ひとりになりたいときは、<br>よくここに来ているのよ。"""
ssc_502010_0090#0,"""水の音を聞いていると、<br>ざわついた心が静まっていくのを感じるわ。"""
ssc_502010_0100#0,"""マノンも気分転換するんだね。"""
ssc_502010_0110#0,"""なにかあったの？"""
ssc_502010_0120#0,"""それは、私も気分を変えたいときくらいあるわよ。"""
ssc_502010_0130#0,"""別になにも。<br>……というわけでもないわね。"""
ssc_502010_0140#0,"""いろいろと、反省することも多いから。"""
ssc_502010_0150#0,"""あのときは、ああすればよかった。<br>こうすればよかったって。"""
ssc_502010_0160#0,"""自分の行動を、<br>ずっと後悔している……。"""
ssc_502010_0170#0,"""………。"""
ssc_502010_0180#0,"""アイナは、わたしのことをすごいって、<br>思っているみたいだけれど。"""
ssc_502010_0190#0,"""知識があっても、<br>実践を伴わなければ、なんの意味もないわ。"""
ssc_502010_0200#0,"""本当にすごいのは、<br>彼女のほうよ。"""
ssc_502010_0210#0,"""……あんなことがあったのに、<br>いつも前を向いて、進もうとしている。"""
ssc_502010_0220#0,"""自分の殻に閉じこもってしまうでもなく、<br>ましてや、怒りで我を忘れるでもなくね。"""
ssc_502010_0230#0,"""そんな彼女が、私を目標にしているのなら、<br>私もその期待を裏切ることはできない。"""
ssc_502010_0240#0,"""だから、せめて彼女の前でだけは、<br>強い自分を演じ続けたいと思っているの。"""
ssc_502010_0250#0,"""あら？<br>なんであなたに、こんな話しているのかしら……。"""
ssc_502010_0260#0,"""フフフ、あなたは不思議な人よね。"""
ssc_502010_0270#0,"""ぼーっとしているように見えるときも多いけれど、<br>最後にはなんでも受け入れてくれるような気がする。"""
ssc_502010_0280#0,"""そんなあなただから、<br>アイナも信頼しているのかもしれないわ。"""
ssc_502010_0290#0,"""……今の話は、<br>アイナには内緒にしておいてもらえるかしら。"""
ssc_502010_0300#0,"""いつか、正直に話せる日が来るかもしれないけれど、<br>……今ではないから。"""
ssc_502010_0310#0,"""約束……だからね。"""
