ssn_011110_0001#0,"""ギャザリングは、楽しんでるか？"""
ssn_011110_0002#0,"""シティの外では、野菜や果物に鉱石、<br>テイムズからは肉、いろいろと見つかるはずだ。"""
ssn_011110_0003#0,"""そうした食材や素材は、戦いの役に立つ。<br>見つけたら、集めておくといいぞ！"""
ssn_011110_0004#0,"""それじゃ、頑張れよ！"""
ssn_011110_0101#0,"""ギャザリングのほうは順調か？"""
ssn_011110_0102#0,"""私は、特に鉱石が好きでな。<br>時間を見つけては、あちこち探して回っている。"""
ssn_011110_0103#0,"""だから鉱石については、詳しいつもりだ。<br>よければ、いろいろと教えてやるぞ！"""
ssn_011110_0201#0,"""モノタイトは、赤い光沢を帯びた鉱石だ。"""
ssn_011110_0202#0,"""ただ眺めるだけでも楽しいが、<br>アイテムラボに持ち込めば、装備品の鍛錬にも活かせるぞ。"""
ssn_011110_0203#0,"""鍛錬に使える石は、装備によって異なるから、<br>ラボのメニューをよく確かめてみるといい。"""
ssn_011110_0204#0,"""モノタイトは、中央エアリオの岩場で見つかるだろう。<br>試しに、採りに行ってみてくれ！"""
ssn_011110_0301#0,"""む、そうか……。<br>それは残念だ。"""
ssn_011110_0302#0,"""鉱石について学びたくなったら、<br>いつでも聞いてくれ。"""
