un_013140_0010#0,"""อ๊ะ เฮ้ เจ้าน่ะ! เจ้า-นั่น-แหละ!<br>เจ้าน่ะดูเหมือนว่าจะเคยต่อสู้กับ Dark Falz <br>ที่ปรากฏตัวออกมาก่อนหน้านี้สินะ"""
un_013140_0020#0,"""เป็นไงบ้าง? มันเก่งมั้ย?<br>เล่าเรื่องของมันมาให้ฟังหน่อยสิ!"""
un_013140_0030#0,"""ถามว่าชั้นไม่ได้เข้าไปร่วมสู้ด้วยงั้นเหรอ?<br>ถามมาจนได้นะเจ้า! ถูกต้อง!<br>ทั้งๆ ที่อยากจะสู้แท้ๆ แต่กลับไม่ได้สู้!"""
un_013140_0040#0,"""ทำไมน่ะเหรอ?<br>เรื่องนั้น ก็เพราะว่าตอนนั้นน่ะนะ......<br>......ชั้นหลับอยู่ยังไงล่ะ"""
un_013140_0050#0,"""กะ... ก็มันช่วยไม่ได้นี่นา เพราะว่า<br>ตอนนั้นจู่ๆ ชั้นก็ง่วงขึ้นมาซะเฉยๆ !"""
un_013140_0060#0,"""Clarissa เองก็ไม่ยอมปลุกฉัน...... <br>ราวกับว่าทุกคนไม่ค่อยอยาก<br>จะสู้กับ Dark Falz"""
un_013140_0070#0,"""อ๊าโธ่เอ๊ย! ถ้าตอนนั้นชั้นได้ออกไป<br>ล่ะก็นะ ป่านนี้ไอ้เจ้าตัวใหญ่<br>แต่ตัวนั่นกลายเป็นชิ้นๆ ไปแล้ว!"""
un_013140_0080#0,"""ไม่พอใจ! ไม่-พอ-ใจ!<br>ถ้าเป็นแบบนี้ งั้นงานชุมนุมครั้งนี้ชั้นจะ......"""
un_013140_0090#0,"""หึหึ หึหึหึ!<br>ตัดสินใจแล้ว ชั้นตัดสินใจแล้ววว!<br>รีบไปคุยเดี๋ยวนี้เลยดีกว่า!"""
un_013140_0100#0,"""เจ้า! เจ้าเองก็จะเข้าร่วมงานชุมนุม<br>สังสรรค์ครั้งนี้ด้วยใช่มั้ย?<br>เตรียมตัวรอรับความสนุกได้เลย!"""
un_013140_0010#1,"""あっ、おい貴様！\u3000きーさーまー！<br>貴様、この前出現したらしい<br>ダークファルスと戦ったか？"""
un_013140_0020#1,"""どうだった？\u3000どんなんだった？<br>事細かに私に教えろ貴様！"""
un_013140_0030#1,"""私は戦えなかったのか、だと？<br>よくぞ聞いたな貴様！\u3000その通りだ！<br>戦いたかったのに戦えなかったのだ！"""
un_013140_0040#1,"""なんで？<br>なんでってそれはもちろん……<br>……寝てたから。"""
un_013140_0050#1,"""し、仕方ないだろ急にすっごく<br>眠くなっちゃったんだから！"""
un_013140_0060#1,"""クラリッサも起こしてくれなかった……<br>まるでみんな私とダークファルスを<br>戦わせたくないみたいだった。"""
un_013140_0070#1,"""えいくそ！\u3000私が出ていれば<br>あんな無駄なデカブツ<br>ぎったんぎったんにしてやったのに！"""
un_013140_0080#1,"""欲求不満だ！\u3000よーっきゅーふまーん！<br>かくなるうえは、今度の催しで……"""
un_013140_0090#1,"""ふふ、ふふふっ！<br>決めた、決めたぞ今決めたーっと！<br>さっそく話をしてこよう！"""
un_013140_0100#1,"""貴様！\u3000貴様も今度の催しには<br>参加するんだろう？<br>楽しみにしているといいぞ！"""
