Title#0,"""Beach Wars 2 !"""
Explanation#0,"""หน้าร้อน ! ทะเล ! และ Shea คนสวยมาแล้วจ้า !<br>ฤดูร้อนของปีนี้มาถึงแล้ว !<br>หน้าร้อนก็ต้องไปทะเล ถ้าจะไปทะเลก็ต้องดาว Wopal !<br>แต่ก็มีเรื่องจนได้ พวก Darker กับเผ่า Neptunian<br>ดันออกมาอาละวาดเต็มชายหาดไปหมดเลย !<br>เลยอยากขอร้องให้ช่วยไล่พวกมันไปที<br>คืนความสงบสุขให้กับชายหาดของพวกเราหน่อยนะ !<br>--------------------------------<br>เงื่อนไขที่ทำให้ภารกิจล้มเหลว / <br>พ่ายแพ้ในแอเรียชั้นในสุด, ใช้เวลาเกินกว่าที่กำหนด"""
Title#1,"""ビーチウォーズ２！"""
Explanation#1,"""夏だっ！\u3000海だっ！\u3000シーおねえさんだっ！<br>今年も暑い夏がやってきたよっ！<br>夏といえば海、海といえばウォパルっ！<br>でもでも、そんなウォパルのビーチに<br>ダーカーや、海王種が現れて大暴れ！<br>あっちもこっちもむっちゃくちゃなの！<br>まばゆいビーチでのんびりするためにも……<br>みんなの力を貸して欲しいなっ！<br>――――――――――――――――――――<br>失敗条件/最深部での敗北、制限時間の経過 """
SimpleExplanation#0,"""สะสม Beach Point !"""
SimpleExplanation#1,"""ビーチPtをためろ！"""
a1#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a2#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
