ra_043040_0001#0,"""A.P.241/4/2"""
ra_043040_0010#0,"""マザー・クラスタについて、ですが<br>これはさすがの情報部も、あまり詳細を<br>つかんでいないようですね。"""
ra_043040_0020#0,"""つまり、ヒツギさんの<br>持っている情報が頼りです。"""
ra_043040_0030#0,"""そう期待されても……<br>あたしもほとんど知らない。"""
ra_043040_0040#0,"""幹部とか、使徒とか<br>そんなの聞いたこともなかった。"""
ra_043040_0050#0,"""マザー・クラスタに入ったのだって<br>ある日、いきなりマザーから連絡があって<br>会員制のＳＮＳに招待されただけ。"""
ra_043040_0060#0,"""最初は半信半疑だったけど、マザーの言うことは<br>いつも正しかったし、実際にＰＳＯ２の中に<br>入ることもできるようになって……"""
ra_043040_0070#0,"""……マザーのことを<br>信じるようになっていった。<br>すごい、何でも知ってるんだ、って。"""
ra_043040_0080#0,"""あたしが知ってた他の所属者は<br>うちの学校の生徒会メンバーと……<br>……コオリだけ。"""
ra_043040_0090#0,"""結局、あたしが知ってるのはそれだけ。<br>それ以外は、何も知らない。"""
ra_043040_0100#0,"""……あたしは、知ったつもりになってた。<br>あたし自身は何も変わってないのに<br>変わった気になってた。"""
ra_043040_0110#0,"""……何も得ていないのに<br>何かを得たつもりだった。"""
ra_043040_0120#0,"""１．誰だってそうだ"""
ra_043040_0130#0,"""２．知らないことがあるほうが面白い"""
ra_043040_0140#0,"""<%me>さんの仰る通り<br>知らないことを自覚して、知ろうと努力する。<br>そういった心構えのほうが重要です。"""
ra_043040_0150#0,"""……私もその言葉、聞いたことあります。<br>そのほうが、面白いとも、思います。"""
ra_043040_0160#0,"""……お姉ちゃん。<br>知らないことがあるのって<br>そんなに悪いことなの？"""
ra_043040_0170#0,"""だったら、ぼくが一番悪い。<br>自分のことも、まわりのことも<br>なんにもわからないし、知らないから……"""
ra_043040_0180#0,"""……アル。"""
ra_043040_0190#0,"""大丈夫ですよ、ヒツギさん。<br>私たちも同じようなものですから。"""
ra_043040_0200#0,"""今からでも遅くありません。<br>いろいろ知るために、一緒に学んでいきましょう。"""
ra_043040_0210#0,"""……うん。"""
