Title#0,"""セントラルシティの住人たち"""
Summary#0,"""アイナの告白に、戦いの決意を新たにした<br><%me>たち。<br><br>ブルーダーから紹介された<br>セントラルシティの住人たちから、<br>戦う術を教わる。"""
Objective311#0,"""ガイドマーカーが指し示すアークスと話す"""
Objective321#0,"""クラスカウンターに向かう"""
Objective331#0,"""サブクラスを設定する"""
Objective341#0,"""スローナのサイドタスクを受注する"""
Objective342#0,"""カルテヴィエのサイドタスクを受注する"""
Objective343#0,"""ランのサイドタスクを受注する"""
Objective351#0,"""スローナのサイドタスクを達成する"""
Objective352#0,"""カルテヴィエのサイドタスクを達成する"""
Objective353#0,"""ランのサイドタスクを達成する"""
text110#0,"""サイドタスク“収集：テイムズ肉”を受注する"""
text120#0,"""サイドタスク“収集：テイムズ肉”を達成する"""
