name01#0,"""Karin"""
name01#1,"""カリン"""
linewindow#0,"""<br>About the Virtual Items in ""Extreme Stages""<br>"""
text00#0,"""About the Virtual Items in ""Extreme Stages"""""
text07#0,"""I will explain about the item drops in Extreme Stages.<br><br>The hostiles that appear in ""Extreme Stages"" are artificially reproduced.<br><br>Because of that, the item drops are very hard to reproduce. So they are very unstable.<br><br>Those kinds of items appear with a special icon."""
text08#0,"""Items that drop with this special icon do not go into your Inventory when picked up. Since their data is unstable, they are stored as Virtual Items in a special space. <yellow>Virtual Items stored in the special space will disappear when you complete the Quest. When you complete a Quest you can take a fixed amount of them back with you from the ""Extreme Terminal"".<c>"""
text09#0,"""I will now explain ""Stage Orders"".<br><br>During ""Extreme Quests"" we will give you experimental orders during each Stage known as ""Stage Orders"".<br><br>By completing these orders, you will increase the number of items hostiles drop when you defeat them.<br><br>Also, every time you complete a certain amount of orders, the amount of items you can take back with you when you complete the Quest will increase."""
text10#0,"""There are certain ""Stage Orders"" that require the player to not use any recovery items or effects in order to complete them. <yellow>*However, recovery effects from your Mag, ones that automatically activate from a skill, or ones from Cash Shop Items are exceptions to this rule.<c>"""
text11#0,"""I will now explain ""Hostile Ability Changes"".<br><br>In ""Extreme Quests"" we have artificially strengthened hostiles in order to create a harsh environment for the Quest.<br>This strengthening is called ""Hostile Ability Changes"".<br><br>However, a ""Hostile Ability Change"" that would strengthen a hostile's resistances can be inverted by completing a ""Stage Order"" in the previous stage, turning it into an advantage for the player."""
skit01#0,"""Since they're quite valuable to you, I will be sending these experimental orders to you in every Stage!"""
skit02#0,"""The Difficulty of them is quite high, but if you <br>manage to complete one it changes the<br>data of the hostiles, making them weaker!"""
skit03#0,"""And that's not all!Boom! It also changes the <br>number of items hostiles drop and the number <br>of items you can take with you out of the Quest!"""
skit04#0,"""Alllllrighty then. I look forward to doing these with you.<br>My name is Karin."""
skit05#0,"""I was given the task of managing the Extreme Quests.<br>I hope our friendship will be a long one!"""
skit06#0,"""Alright, now then.<br>Please, go this way.<br>A super-duper fun training will begin."""
linewindow#1,"""<br>『エクストリームクエスト』仮想アイテムについて<br>"""
text00#1,"""『エクストリームクエスト』仮想アイテムについて"""
text07#1,"""ドロップアイテムについて説明します。<br><br>「エクストリームクエスト」で出現するエネミーは<br>人工的に再現されたものです。<br><br>そのため、再現性の難しい一部ドロップアイテムは<br>不安定な状態で出現します。<br><br>そのようなアイテムは専用のアイコンで出現します。"""
text08#1,"""専用のアイコンでドロップしたアイテムは<br>拾得時にアイテムパックには入らず<br>不安定なデータとして、専用スペースに<br>仮想アイテムとして保存されます。<br><br><yellow>専用スペースに保存された仮想アイテムは<br>クエスト終了時に消滅してしまい<br>クエストクリア時のみ「エクストリーム端末」から<br>一定数だけ持ち帰ることができます。<c>"""
text09#1,"""「ステージオーダー」について説明します。<br><br>「エクストリームクエスト」では、ステージごとに<br>「ステージオーダー」という実験的な依頼が出されます。<br><br>この依頼を達成することでエネミーからの<br>アイテムのドロップ数が上昇していきます。<br><br>また、一定数達成するごとに、クエストクリア時に<br>持ち帰ることのできるアイテム数が上昇します。"""
text10#1,"""「ステージオーダー」の中には<br>プレイヤーに対する全ての回復効果を受けずに<br>条件を満たさなければならないものもあります。<br><br><yellow>※ただし、マグによる回復効果、スキルによる自動回復効果<br>有料アイテムによる回復効果は対象から除外されます。<c>"""
text11#1,"""「エネミー能力変化」について説明します。<br><br>「エクストリームクエスト」では、過酷な状況を作り出す為に<br>エネミーを人為的に強化しています。<br>この強化を「エネミー能力変化」と呼んでいます。<br><br>一部の耐性を強化する「エネミー能力変化」は<br>前のステージの「ステージオーダー」を達成することで<br>反転させ、有利な効果を生じさせることが可能となっています。"""
skit01#1,"""せっかくなので、ステージ毎に<br>私の方から実験的な課題を<br>出させてもらってます！"""
skit02#1,"""難易度はちょーっと高めですが<br>達成できれば、再現データが変化して<br>エネミーが弱くなったりしますよー！"""
skit03#1,"""それだけじゃなく！<br>ドロップアイテム数や、持ち帰りの<br>アイテム数もばばーんと増加です！"""
skit04#1,"""はーいそれじゃあ<br>よろしくお願いしますねー。<br>私は、カリンと言います。"""
skit05#1,"""エクストリームクエストの管理を<br>任されちゃってるんですー。<br>長い付き合いになれるといいですねー。"""
skit06#1,"""ささ、さささ。<br>お進み下さいこの先へ。<br>楽しい楽しい訓練の始まりですよー。"""
