un_020190_0010#0,"""嗨，你好啊！<br>帕緹小姐是也！"""
un_020190_0020#0,"""唔......這句問候<br>之前好像用過了......"""
un_020190_0030#0,"""你居然連這點小節<br>都會在意喔......<br>啊，你好，我是提雅。"""
un_020190_0040#0,"""算了，先不管那個。<br>之前你很在意的<br>那個，幫你調查到囉！"""
un_020190_0050#0,"""那個啊......對啦，那個啦！<br>很大、很強，<br>而且很危險的那個！"""
un_020190_0060#0,"""就是克拉莉絲克蕾絲手上拿的<br>那把克拉麗莎。"""
un_020190_0070#0,"""對，沒錯！<br>長杖型創世器，白錫克拉麗莎！"""
un_020190_0075#0,"""你很在意喔？<br>在意的人是你沒錯喔？<br>也罷，說給你聽說給你聽！"""
un_020190_0080#0,"""擁有外觀華瞻的純白框體，<br>揮舞時的模樣有如光的......<br>咦，等等？　是白色的麼？"""
un_020190_0090#0,"""......就是因為那個有蹊蹺，<br>才會讓我們調查的啊。<br>好了啦，帕緹你閉嘴。"""
un_020190_0100#0,"""關於科麗莎的下落......<br>據說好像十年前就遺失了。"""
un_020190_0110#0,"""因此，這一代的克拉莉絲克蕾絲<br>手中持有那把是假貨。"""
un_020190_0120#0,"""即使如此，其性能依舊不能<br>因為假貨二字而看輕。<br>......我就吃過一次虧。"""
un_020190_0130#0,"""聽說在創世器當中，<br>科麗莎更是特別，<br>好像會選擇使用者之類的......"""
un_020190_0140#0,"""能夠選擇主人，這把魔棒<br>該不會是活的吧！<br>然後魔棒會和主人說話！"""
un_020190_0150#0,"""......的確，克拉莉絲克蕾絲<br>經常對著魔棒說話的樣子，<br>有不少人曾經看到過。"""
un_020190_0160#0,"""「需要力量麼......？<br>需要的話......聽我命令吧！」<br>像這樣囉？"""
un_020190_0170#0,"""為什麼會這麼傲？"""
un_020190_0180#0,"""因為克拉莉絲克蕾絲<br>就很傲了。"""
un_020190_0190#0,"""......這話說得有意思。"""
