name01#0,"""芙莉葉"""
name02#0,"""瑪麗亞"""
name01#1,"""フーリエ"""
name02#1,"""マリア"""
skit01#0,"""嗚...村落又被襲擊了嗎！<br>那些孩子們的居所......<br>只能靠我來守護了！"""
skit02#0,"""/ci3 1 和這一側在同一時間<br>北側的村落也出事了嗎。<br>......無論如何，先從眼前的開始處理。"""
skit01#1,"""/ci3 1 くっ、また集落に襲撃ですか！<br>あの子達の住居……<br>わたしが守ってあげないと！"""
skit02#1,"""/ci3 1 こっち側と同時に<br>北側の集落もか。<br>……何にせよ、まずは目の前のからだ。"""
skit01#2,"""嗚、村落又被襲擊了嗎！<br>那些孩子們的居所......<br>只能靠我來守護了！"""
skit02#2,"""和這一側在同一時間<br>北側的村落也出事了嗎。<br>......無論如何，先從眼前的開始處理。"""
skit01#3,"""くっ、また集落に襲撃ですか！<br>あの子達の住居……<br>わたしが守ってあげないと！"""
skit02#3,"""こっち側と同時に<br>北側の集落もか。<br>……何にせよ、まずは目の前のからだ。"""
