un_012300_0005#0,"""[Intel Hunters for Hire]<br>Temporary text"""
un_012300_0010#0,"""Hello there, my fellow op-in-arms!<br>Pati here, to solve all of your woes!<br>Ha ha ha ho ho!"""
un_012300_0020#0,"""Tia here. And sorry, we had a little run-in with<br>this weirdo earlier, and she's been like that ever<br>since."""
un_012300_0030#0,"""Ooh, but I DO detect a hint of trouble in that<br>expression of yours! Anything we can help<br>with? Just name it!"""
un_012300_0040#0,"""Any intel on the lab?"""
un_012300_0050#0,"""Any intel on the accident?"""
un_012300_0060#0,"""The lab? Which lab? Any lab?"""
un_012300_0070#0,"""No#0,""""THE"" lab. The one that just had that<br>strange accident? You broke that story<br>yourself, Pati!"""
un_012300_0080#0,"""I did? Huh. I maybe kinda-sorta remember<br>that... ish?"""
un_012300_0090#0,"""Well, whatever. If you say I broke a story,<br>I'm happy to take the credit."""
un_012300_0100#0,"""Accident? Ah, the one at the lab?"""
un_012300_0110#0,"""Lab? Accident? Ah, well, for the sake of<br>argument, let's say there was an accident<br>at a lab."""
un_012300_0120#0,"""What argument? You broke this story<br>yourself, Pati!"""
un_012300_0130#0,"""I did? Ooh! I did! I remember now!"""
un_012300_0140#0,"""My, my, my! You've got a taste for dangerous<br>details, my dear!"""
un_012300_0150#0,"""That was a highly covert research apparatus.<br>Frankly, chances are we'll find more trouble<br>than we do solid information."""
un_012300_0160#0,"""But! We're the best in the biz, and you're<br>our favorite customer. We're on the case!"""
un_012300_0170#0,"""Heh heh. Rest easy. The word ""unpossible""<br>isn't in my dictionary!"""
un_012300_0180#0,"""It's not in anyone's dictionary. Because it's<br>not a word!"""
un_012300_0190#0,"""Anyway, no guarantees, but we'll see what<br>we can dig up. Take care!"""
un_012300_0005#1,"""【調査依頼おまかせあれ！】<br>仮テキスト"""
un_012300_0010#1,"""やあやあこんにちは！<br>パティちゃんですよ！<br>何か困ったことはないかね！"""
un_012300_0020#1,"""この前会った人の影響を<br>受けちゃってるね……<br>どうも、ティアです。"""
un_012300_0030#1,"""ん？　あれ、でもなんか本当に<br>お願いがありそうな顔してる？<br>いーよー、お姉さん聞いちゃうよー！"""
un_012300_0040#1,"""研究室の情報ってある？"""
un_012300_0050#1,"""研究部で起きた事故のことを聞く"""
un_012300_0060#1,"""研究室？"""
un_012300_0070#1,"""アークスの研究部のことだよ。<br>ほら、このまえ事故があったって。<br>自分で話したでしょ？"""
un_012300_0080#1,"""んー……あれー？<br>そんなこと話したっけ？<br>話したよーな、話してないよーな。"""
un_012300_0090#1,"""ま、いっか。<br>ティアが話したっていうんなら<br>話したんだよね。"""
un_012300_0100#1,"""研究部での事故というと……<br>この前起きたってやつかな？"""
un_012300_0110#1,"""この前？　事故？<br>あったよーな、なかったよーな……"""
un_012300_0120#1,"""いや、あったからね！<br>しかもパティちゃん<br>自分で話したからね！"""
un_012300_0130#1,"""んー……？　おお！　ああ！<br>わかった、あれのことね！"""
un_012300_0140#1,"""なるほどなるほど、あれの情報かー。<br>へっへっへ、ずいぶんと危険な情報<br>欲しがりますねえ、お客さん！"""
un_012300_0150#1,"""アークスの研究部は秘密主義。<br>情報が取れるかどうかもだけど<br>リスクの高いところだね……"""
un_012300_0160#1,"""しかーし！　あたしとティアに<br>不可能という二文字はなーい！"""
un_012300_0170#1,"""しかもお願いとあっちゃあ<br>断るわけにもいかないでしょ！<br>さ、ティア、いっくよー！"""
un_012300_0180#1,"""あっ、ちょっ、ちょっと<br>パティちゃん待って！<br>不可能は三文字だよ！"""
un_012300_0190#1,"""と、とりあえず出来る限り<br>情報は集めてみます！<br>では、また！"""
