Title#0,"""※※\u3000※\u3000※※"""
Explanation#0,"""※※※"""
SimpleExplanation#0,"""※※※"""
OnQuestBegin_0#0,"""※※※"""
OnQuestBegin_1#0,"""※※※"""
OnDefencePhase1Start0#0,"""※※※"""
OnDefencePhase1Start1#0,"""※※※"""
OnDefencePhase1Start2#0,"""※※※"""
OnDefencePhase2Start0#0,"""※※※"""
OnDefencePhase2Start1#0,"""※※※"""
OnDefencePhase3Start0#0,"""※※※"""
OnDefencePhase3Start1#0,"""※※※"""
OnAttackPhase1Start0#0,"""※※※"""
OnAttackPhase1Start1#0,"""※※※"""
OnAttackPhase1Start2#0,"""※※※"""
OnAttackPhase2Start0#0,"""※※※"""
OnAttackPhase2Start1#0,"""※※※"""
OnAttackPhase3Start0_0#0,"""※※※"""
OnAttackPhase3Start0_1#0,"""※※※"""
OnAttackPhase3Start1#0,"""※※※"""
OnDefencePhase1End0#0,"""※※※"""
OnDefencePhase1End1#0,"""※※※"""
OnDefencePhase1End2#0,"""※※※"""
OnAttackPhase1End0#0,"""※※※"""
OnAttackPhase1End1#0,"""※※※"""
OnAttackPhase1End2#0,"""※※※"""
OnDefencePhaseEndByTimeOver#0,"""※※※"""
OnDefencePhaseEnemyDecrease0#0,"""※※※"""
OnDefencePhaseEnemyDecrease1#0,"""※※※"""
OnWaveHapping#0,"""※※※"""
OnRamCountIncrease#0,"""※※※"""
OnBaseHpDecrease0#0,"""※※※"""
OnBaseHpDecrease1#0,"""※※※"""
OnBrokenBase0#0,"""※※※"""
OnBrokenBase1#0,"""※※※"""
OnBrokenBase2#0,"""※※※"""
OnBrokenBase3#0,"""※※※"""
OnBossDeadlySkill#0,"""※※※"""
OnHpGaugeDecrease0#0,"""※※※"""
OnHpGaugeDecrease1#0,"""※※※"""
OnTimeDecrease0#0,"""※※※"""
OnTimeDecrease1#0,"""※※※"""
OnSuccessTimeover#0,"""※※※"""
OnSuccessBreakGauge#0,"""※※※"""
OnSuccessReturn#0,"""※※※"""
OnFailureTimeover#0,"""※※※"""
OnFailureAnnihilationBase#0,"""※※※"""
OnFailureReturn#0,"""※※※"""
NpcComMsg1#0,"""※※※"""
NpcComMsg2#0,"""※※※"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
