name_7007#0,"""Liu Lin"""
ssq_014110_0010#0,"""Excellent work. With this, you've conquered all Trainia within Aelio."""
ssq_014110_0020#0,"""You produced good data. This will be useful for training future ARKS."""
ssq_014110_0030#0,"""That being said, Trainia are places still full of mystery."""
ssq_014110_0040#0,"""Nobody knows who created them, or for what purpose they were made."""
ssq_014110_0050#0,"""We use them as training facilities, but whether or not that's what they're actually for..."""
ssq_014110_0060#0,"""...Right. You are hereby acknowledged as a Trainia Master. Congratulations."""
ssq_014110_0070#0,"""Best of luck moving forward."""
ssq_014110_0101#0,"""...or so I would say, but it seems you've already conquered every Trainia facility in Aelio."""
ssq_014110_0102#0,"""Mmm... Awkward."""
ssq_014110_0103#0,"""That being said, Trainia are places still full of mystery."""
ssq_014110_0104#0,"""Nobody knows who created them, or for what purpose they were made."""
ssq_014110_0105#0,"""We use them as training facilities, but whether or not that's what they're actually for..."""
ssq_014110_0106#0,"""...Right. You are hereby acknowledged as a Trainia Master. Congratulations."""
ssq_014110_0107#0,"""Best of luck moving forward."""
