name01#0,"""เกี่ยวกับ [Team]"""
name01#1,"""『チーム』について"""
text01#0,"""ผู้เล่นเมื่อมี Lv. Class ใดๆ ก็ตามสูงเกินกว่า 10 จะสามารถสร้าง Team ได้<br><br>เนื่องจาก Team ถือเป็น 1 คอมมูนิวตี้ <br>สมาชิกใน Team เดียวกัน จึงสามารถใช้สนทนาในทีมเพื่อพูดคุยกันได้<br>รวมถึงยังสามารถติดต่อหากันได้แม้จะอยู่คนละ Block หรืออยู่ใน My Room<br><br>แม้ Lv. Classจะไม่ถึง 10<br>แต่ก็สามารถที่จะเข้าร่วม Team ได้หากมีคนอื่นชวน"""
text02#0,"""ตัวละครที่อยู่ใน Play ID และ Ship เดียวกัน <br>จะสามารถนำมาอยู่ใน Team เดียวกันได้<br><br>สมาชิกทีมแต่ละคนจะถูกแบ่งตำแหน่งกันอยู่คนละ 1 ตำแหน่ง<br>ซึ่งจะสามารถตรวจสอบยืนยันตำแหน่งได้ที่รายชื่อสมาชิก"""
text03#0,"""[ตำแหน่งใน Team ]<br><br><yellow>หัวหน้าทีม<c> ...สามารถใช้งานระบบทุกอย่างใน Team ได้<br><br><yellow>ผู้จัดการ<c> ...สามารถใช้งานระบบพื้นฐานของ Team  รวมทั้งหาคนร่วม Team ได้<br><br><yellow>สมาชิก<c> ...สามารถใช้งานระบบพื้นฐานของ Team ได้<br><br><yellow>ผู้เยี่ยมเยือน<c> ...อยู่ในสถานะหัวหน้าทีมอนุมัติให้เข้าร่วม Team  <br>   สามารถใช้งานระบบพื้นฐานของ Team ได้"""
text04#0,"""นอกจากนี้ เมื่ออัพเกรด Team ก็จะได้ Team Room และ <br>Team Storehouse ที่สามารถใช้ร่วมกันระหว่างสมาชิกมาอีกด้วย"""
text05#0,"""การอัพเกรด Team จำเป็นจะต้องมี Team Point<br>ซึ่ง Team Point จะได้มาเมื่อทำ Order สำเร็จ<br><br>ผู้เล่นสามารถไปรับ Order ได้ที่ Team Counter <br>ไม่ว่าจะจากใน ARKS Counter หรือ Team Room<br>ก็สามารถที่จะรับ/ส่งเควสได้"""
text06#0,"""เมื่อ Team Lv. สูงขึ้น สิ่งที่สามารถอัพเกรดได้ก็จะเพิ่มขึ้น<br>มารวมพลังสมาชิกเพื่อตั้งเป้าหมายสู่ Team ที่แข็งแกร่งกันเถอะ"""
text01#1,"""いずれかのクラスレベルが１０以上になるとチームを作れます。<br><br>チームとは１つのコミュニティのことで、<br>同じチームメンバー同士であれば、チームチャットを使って<br>違うブロックやマイルームにいても連絡をとることができます。<br><br>クラスレベルが１０に達していなくても<br>他の人に誘ってもらうことで、チームに所属することもできます。"""
text02#1,"""同じSEGA ID、同じシップのキャラクターは、<br>全て同じチームに所属することになります。<br><br>チームメンバーは役職が１つ割り当てられます。<br>役職はチームメンバー一覧で確認することができます。"""
text03#1,"""【チームの役職】<br><yellow>チームマスター<c>\u3000…チームの全機能を使用できます。<br><br><yellow>マネージャー<c>\u3000\u3000 …基本的な機能の他、他の人をスカウトできます。<br><br><yellow>コモンメンバー<c>\u3000…チームの基本的な機能を使用できます。<br><br><yellow>ビジター<c>\u3000\u3000\u3000\u3000\u3000\u3000…チームマスターに承認される前の仮加入状態です。<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000チームの基本的な機能を使用できます。"""
text04#1,"""また、チームを拡張すると専用のルームを所持したり<br>チーム用の倉庫をメンバーで共有できたりします。"""
text05#1,"""チームを拡張するには、チームポイントが必要です。<br>チームポイントはオーダーを達成することで獲得します。<br><br>オーダーはチームカウンターで受注することができます。<br>アークスカウンター内、チーム専用ルームの<br>どちらのキャラクターでも受注・報告が可能です。"""
text06#1,"""チームレベルが上昇すると拡張できることも増えます。<br>メンバーで協力し、より強く個性的なチームを目指しましょう。"""
