name_7199#0,"""グイーデン"""
msn_005013_0001#0,"""うむ、順調に力をつけているようだな。"""
msn_005013_0002#0,"""だが、まだまだ学ぶべきことはたくさんある。<br>引き続き、皆に話しかけてみるといいだろう。"""
msn_005013_0101#0,"""皆の力になってくれたようだな。"""
msn_005013_0102#0,"""そろそろ各クラスについて学んでもいいだろう。"""
msn_005013_0103#0,"""様々なクラスを自在に操れるようになれば<br>強力なドールズ相手でも優位に戦える。"""
msn_005013_0104#0,"""セントラルシティには各クラスの教導官がいる。<br>皆には力になるよう伝えてある。"""
msn_005013_0105#0,"""セントラルシティの南東にいるから、<br>各クラスについてしっかり学んでくれ。"""
msn_005013_0201#0,"""だいぶ力をつけたようだな。"""
msn_005013_0202#0,"""その立ち居振る舞い……見ればわかる。<br>もう一人前のアークスといっていいだろう。"""
msn_005013_0203#0,"""それから……、わからないことがあるなら、<br>これまでに学んだことを思い出してみるといいだろう。"""
msn_005013_0204#0,"""今後の活躍を期待しているぞ。"""
