Title#0,"""Wopal Rescue Team"""
Explanation#0,"""ช่วงนี้ที่ Undersea Area บนดาว Wopal<br>ถูก Ginchak กินคนบุกจู่โจมอย่างต่อเนื่อง<br>เราจะปล่อยให้พวกเขาประสบเคราะห์ร้ายอยู่<br>แบบนี้ต่อไปไม่ได้ขอให้ ARKS ทุกคนที่มีพร้อม <br>จงไปช่วยชาวดาว Wopal ให้รอดพ้น<br>จากเงื้อมมือพวกมัน<br>-------------------------------------------<br>เงื่อนไขความล้มเหลว / การช่วยเหลือล้มเหลว"""
Title#1,"""ウォパル救助隊"""
Explanation#1,"""最近、惑星ウォパルの海底エリアにて<br>ウォパルの原生住民が、ガムアネモネに<br>襲われているという報告が後を絶たない。<br>今後の探索を鑑みても、この状況を<br>放置しておくわけにはいかない。<br>アークス各員は準備が出来次第出撃し<br>海底エリアを探索。ウォパル原生住民が<br>襲われていた場合は、これを救助せよ。<br>――――――――――――――――――――<br>失敗条件/救助の失敗"""
SimpleExplanation#0,"""ช่วยชาวพื้นเมืองบนดาว Wopal!"""
SimpleExplanation#1,"""ウォパル原生住民を救助せよ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
