name01#0,"""瑪露"""
name01#1,"""マールー"""
11_voice_NPC_5019_100#0,"""......嗯，這樣就結束了。<br>你的實力，我已經大概了解了。"""
text02#0,"""......老實說，你能成為具有這般實力<br>的術士，真是出乎我的預料。<br>超乎想像的成長。"""
text03#0,"""......又多了一個值得信賴的術士<br>是件令人高興的事。"""
text04#0,"""......那麼，暫時先回去吧。<br>回來以後，希望你先到我這裡來<br>報告一下。"""
text05#0,"""......多多指教。"""
11_voice_NPC_5019_100#1,"""……うん、これで完了。<br>貴方の力、十分に見せてもらった。"""
text02#1,"""……正直、ここまでのフォースに<br>なるなんて、予想外かも。<br>想像以上の成長。"""
text03#1,"""……心強いフォースの仲間が<br>増えるのは、嬉しいことだと思う。"""
text04#1,"""……それじゃ、一度戻りましょう。<br>帰還したら、私の所まで<br>報告に来てほしい。"""
text05#1,"""……よろしく。"""
