name_7443#0,"""마리모"""
ssn_015340_0001#0,"""스티아에 새로 오신 분이시죠~?"""
ssn_015340_0002#0,"""더위 먹거나 하시진 않았나요~?<br>전투 전엔 물을 충분히 마셔주세요."""
ssn_015340_0003#0,"""에너미를 쓰러트리기 전에<br>더위 먹고 쓰러지면 말짱 도루묵이라구요~."""
ssn_015340_0101#0,"""스티아의 날씨는 슬슬 익숙해졌나요~?"""
ssn_015340_0102#0,"""저는 마리모.<br>스티아 환경조사를 맡고 있어요."""
ssn_015340_0103#0,"""스티아는 굉장히 위험한 곳이라서,<br>모두의 활동이 편해지게끔 정보를 모으고 있어요."""
ssn_015340_0104#0,"""그래서 만약 괜찮으시면,<br>제 조사를 좀 도와주실래요?"""
ssn_015340_0105#0,"""저 대신 가주셨으면<br>하는 곳이 있거든요~."""
ssn_015340_0201#0,"""스티아 외연부에<br>신기한 섬이 있거든요~."""
ssn_015340_0202#0,"""그 섬의 상태를 더 자세히 알고 싶으니,<br>데이터를 가져와 주시지 않을래요?"""
ssn_015340_0203#0,"""그럼, 다녀오세요~."""
ssn_015340_0301#0,"""그렇군요…….<br>그럼 다음 기회에~."""
