Begin#0,"""/ci2 1 Oza เริ่ม"""
Success#0,"""/mn1 /ci2 2 Oza สำเร็จ"""
Failure#0,"""/mn1 /ci2 2 Oza ล้มเหลว"""
Dead#0,"""/mn1 /ci2 2 ตัว Oza เองเสียชีวิต"""
BuddyDead#0,"""/mn1 /ci2 2 Oza  Partner เสียชีวิต"""
Evolution#0,"""/mn1 /ci2 2 Oza พัฒนา"""
Begin#1,"""/ci2 1 オーザ開始"""
Success#1,"""/mn1 /ci2 2 オーザ成功"""
Failure#1,"""/mn1 /ci2 2 オーザ失敗"""
Dead#1,"""/mn1 /ci2 2 オーザ自分死亡"""
BuddyDead#1,"""/mn1 /ci2 2 オーザ相手死亡"""
Evolution#1,"""/mn1 /ci2 2 オーザ発展"""
Begin#2,"""/ci1 1 กำลังตามหาร้านเค้กที่เค้าลือกันอยู่แท้ๆ<br>ทว่าสถานการณ์มันก็ดันกลายเป็นแบบนี้ซะได้......<br>เจ้านี่มันดวงไม่ดีเลยจริงๆ แต่ข้าเองก็ด้วยล่ะนะ"""
Success#2,"""/mn11 /ci1 2 จบแล้วงั้นรึ......<br>......หือ? เฮ้ เจ้าคิดจะไปไหนน่ะ?<br>Wizard ไปคนเดียวมันอันตรายนะ!"""
Failure#2,"""/ci1 2 โทษที ครั้งนี้ข้าขอถอนตัว<br>ออกไปก่อนก็แล้วกัน!"""
Dead#2,"""/ci3 1 โธ่โว้ย...... ทั้งๆ ที่ยังไม่ทัน<br>ได้เห็นร้านเค้กเลยแท้ๆ <br>จะมาจบลงในที่แบบนี้......!"""
BuddyDead#2,"""/ci3 1 ชิ...... โธ่โว้ย!<br>ถ้าหากว่าข้าปกป้องเจ้าให้จนถึงที่สุดได้ล่ะก็!"""
Evolution#2,"""/mn22 /ci3 1 ชิ ทั้งๆ ที่แค่มาตามหา<br>เค้กเท่านั้นเองแท้ๆ !"""
Begin#3,"""/ci1 1 噂のケーキ屋を探していたはずが<br>こんな状況になってしまうとは……<br>とことんついてないな、俺も。"""
Success#3,"""/mn11 /ci1 2 終わったか……<br>……ん？\u3000おい、どこに行く気だ？<br>フォース一人では危ないぞ！"""
Failure#3,"""/ci1 2 すまない、今回は先に<br>撤退させてもらう！"""
Dead#3,"""/ci3 1 くそ……まだ、ケーキ屋を<br>見ていないというのに<br>こんなところで……！"""
BuddyDead#3,"""/ci3 1 ちっ……くそっ！<br>俺が守り切れてさえいれば！"""
Evolution#3,"""/mn22 /ci3 1 ちっ、ケーキを求めて<br>来ただけだというのに！"""
