ContentMenu_None#0,"""กำลังส่ง..."""
Coin#0,"""所持カジノコイン"""
TitleCongest#0,"""カジノエリア混雑状況"""
Congest_Name_SlotRappy#0,"""ラッピースロット"""
Congest_Name_Shooter#0,"""メセタンシューター"""
Congest_Name_SlotArkuma#0,"""アークマスロット"""
Congest_Empty#0,"""空席あり"""
Congest_Full#0,"""盛況"""
Congest_Over#0,"""混雑"""
Congest_Loading#0,"""読み込み中"""
Congest_Failure#0,"""不明"""
ContentInfo#0,"""コンテンツ情報"""
ContentInfo_Nothing#0,"""なし"""
ContentMenu_None#1,"""通信中…"""
WindowTitle#0,"""メッセージ"""
ComeInMessage#0,"""お預かりしていたカジノコインをお渡しします。"""
ComeOutMessage#0,"""所持カジノコインを預かりました。"""
ComeOutWarning#0,"""カジノコインが上限を超えています。景品交換するか、ACショップで上限を拡張しましょう。"""
PossessNum#0,"""現在の所持数"""
Back#0,"""戻る"""
Message#0,"""メッセージ"""
Yes#0,"""はい"""
No#0,"""いいえ"""
Close#0,"""閉じる"""
BigHitShooter#0,"""$(0)さんがメセタンシューターで大当たりしました！"""
BigHitSlotRappy#0,"""$(0)さんがラッピースロットで大当たりしました！"""
BigHitSlotRappyJP#0,"""$(0)さんがラッピースロットでジャックポットを達成しました！"""
PrizeExchangeTitleMenu#0,"""ショップメニュー"""
PrizeExchangeInfo#0,"""景品交換所情報"""
PrizeExchangeNo#0,"""交換回数"""
PrizeExchangeNoInfo#0,"""水曜13時にリセット"""
PrizeExchangeNoInfoVITA#0,"""交換回数(水曜13時にリセット)"""
PrizeExchangeTitle#0,"""景品交換カウンター"""
PrizeExchangeHead#0,"""<c f0df60>コインで景品を交換できます。<c>"""
PrizeExchangeHead_1#0,"""<c f0df60>コインを交換回数制限のない景品と交換できます。<c>"""
PrizeExchangeHead_2#0,"""<c f0df60>コインを交換回数に制限のある景品と交換できます。<c>"""
PrizeExchangeHeadExit#0,"""<c f0df60>景品交換カウンターから出ます。<c>"""
PrizeExchangeHeadSelect_1#0,"""<c f0df60>コインを消費して、景品と交換できます。交換する景品を選択してください。<c>"""
PrizeExchangeHeadSelect_2#0,"""<c f0df60>コインと交換する景品を選択してください（１週間に交換回数の制限があります）。<c>"""
PrizeExchangeContents#0,"""景品交換カウンターメニュー"""
PrizeExchangeMenu_1#0,"""通常景品と交換"""
