name_7006#0,"""ラン"""
msn_011080_002_0020#0,"""マグナス山に向かうにあたって、<br>戦いのアドバイスができればと思いまして。"""
msn_011080_002_0030#0,"""各アークスの能力は、“戦闘力”という<br>数値によって可視化されています。"""
msn_011080_002_0040#0,"""これは、それぞれのアークスの身体能力や、<br>装備している武器、防具などの能力を計測して、数値化したものです。"""
msn_011080_002_0050#0,"""そこには、個々人の戦いのセンスなどは反映されないので、<br>あくまで目安の値でしかないのですが……。"""
msn_011080_002_0060#0,"""私たちは、この戦闘力を基準にして、ハルファの危険な場所に、<br>訓練中のアークスが入り込んだりしないように制限を設けています。"""
msn_011080_002_0070#0,"""マグナス山も、そうした場所のひとつです。"""
msn_011080_002_0080#0,"""目安となる戦闘力を提示しておきますので、<br>その値を参考に、戦いの準備を進めてください。"""
msn_011080_002_0090#0,"""こちらで、しっかりとモニターしていますので、<br>頑張ってくださいね。"""
msn_011080_002_0101#0,"""ようこそ、セントラルシティへ。<br>お会いできて嬉しいです。"""
msn_011080_002_0102#0,"""これからオペレーターとして、<br>しっかりとサポートさせていただきますね。"""
msn_011080_002_0201#0,"""オペレーションのやり方で、もっとこうしてほしいとか<br>要望がありましたら、何でも言ってください。"""
msn_011080_002_0202#0,"""皆さんのやりやすいように、<br>対応していければと思いますので。"""
