text01001a#0,"""こんにちは！<br>初めまして、ですよね？<br>テトラといいます！"""
11_voice_NPC_5598_104#0,"""実は、ちょっと困ってまして……<br>隣にいる、みたらしさんに<br>話しかけてもらえます？"""
text02001#0,"""……"""
text02002#0,"""あ、テトちゃんの中の人なら<br>さっき、トイｒ……じゃなくて<br>「お花摘みに行ってきます☆」だって。"""
11_voice_NPC_5598_104#1,"""靴下……みたらしさんの靴下……<br>おっさんの、靴下……？"""
text04001#0,"""……"""
text04002#0,"""あ、テトちゃんの中の人なら<br>またまた、トイｒ……じゃなくて<br>「お花摘みに行ってきます☆」だって。"""
text05001#0,"""えっ？<br>おなかの調子良くないのかって？<br>な、なに言ってるんですかー。"""
text05002#0,"""私はリアルでもいい匂いする<br>女の子なのでよくわかんないです☆"""
11_voice_NPC_5598_101#0,"""そ、それよりも全員そろったし<br>クエスト行きましょう！"""
text06001#0,"""お付き合い<br>ありがとうございました！"""
11_voice_NPC_5598_100#0,"""色々やりましたけど<br>やっぱりみんなでクエスト行くのが<br>一番楽しかったですね。"""
text06003#0,"""また一緒に遊びましょうね。<br>あと、スクショ撮るときには<br>ぜっっったい呼んでくださいね！"""
