11_voice_NPC_5021_102#0,"""มี ARKS มากมายที่ไม่ Augment ให้กับอาวุธโปรด<br>นี่เป็นเรื่องที่รับไม่ได้"""
text02#0,"""ถ้าท่าน Augment อาวุธและเกราะอย่างเหมาะสม<br>ท่านจะพบว่ามันจะเป็นเครื่องมือสำหรับต่อสู้<br>ที่เชื่อใจได้ที่สุด"""
text03#0,"""แล้วท่านล่ะ? บางทีอาจถึงเวลา<br>ที่ท่านควรลองด้วยตัวเอง"""
text04#0,"""ไม่เข้าใจเหรอ? ท่านไม่ได้ฟังเลยเหรอ?<br>ท่านควรจะตั้งใจฟังให้ดีนะ<br>ตอนนี้จงไปที่ Lab แล้วทำ Augment"""
text05#0,"""เอ้า ยังมัวรออะไรอยู่อีก? <br>ตั้งใจฟังหน่อย แล้วไป Augment ได้แล้ว<br>เข้าใจมั้ย?"""
text100#0,"""การเพิ่ม Augmentations"""
text101#0,"""ข้อมูลเกี่ยวกับการเพิ่ม [Augmentation]<br><br>การ Augmentation สามารถช่วยเพิ่มประสิทธิภาพให้กับความสามารถของอาวุธต่างๆได้<br><br>ผู้เล่นสามารถใช้งานระบบ Augmentation ได้ผ่านทาง Item lab<br><br>การ Augmentation จะสามารถเพิ่มประสิทธิภาพได้ดังเช่นตัวอย่างด้านล่าง<br>Power I - Melee ATK+10<br>Stamina II - HP+40<br>Lucky Rise I - Item Drop Rate+5%<br><br>*ยังมีผลจากการ Augmentation ที่นอกเหนือจากนี้อีกหลายรูปแบบ<br><br>"""
text102#0,"""ท่านต้องใช้สิ่งต่อไปนี้เพื่อ Augmentation:<br>- Meseta<br>- Component weapon หรือ armor unit<br><br>ท่านสามารถเพิ่มอะไรก็ได้ที่ท่านต้องการจาก Augmentations ของ<br>ไอเทม Component โดยไอเทม Component ต้องมีตัวเลขตรงกับ <br>Augmentations สำหรับไอเทมตั้งต้น ยกเว้นไม่มี ในกรณีนั้นตัวเลข<br>จะไม่มีความหมายอะไร"""
text103#0,"""โดยโอกาสของ Augmentations จะผ่านขึ้นจำนวนและเลเวล<br>ลองพยายามสร้างไอเทมพิเศษของท่านเองดู"""
11_voice_NPC_5021_102#1,"""昨今のアークスは、愛用品へ<br>特殊能力を追加しない者が多すぎる！<br>たるんでいると言わざるを得ん！"""
text02#1,"""自らとともにある愛用品へ<br>唯一無二の能力を追加してこそ<br>真の相棒たり得るというのに……！"""
text03#1,"""ええい、話している内にも<br>不安が鎌首をもたげてきた！<br>君、今すぐやってくるといい！"""
text04#1,"""何を、って、決まっているだろう。<br>ラボで特殊能力の追加だ！<br>武器やユニットに追加するのだ！"""
text05#1,"""さあ、さあ、やってきてくれ！<br>そう難しいことではないはずだ！<br>私の不安を払拭してくれ！"""
text100#1,"""『特殊能力追加』について"""
text101#1,"""『特殊能力追加』について、説明します。<br><br>武器に特殊能力をつける事によって、<br>武器の能力を向上させることが出来ます。<br><br>アイテムラボの施設で、<br>武器の特殊能力追加をすることが可能です。<br><br>特殊能力の一例として以下の様な効果があります。<br>パワーⅠ…打撃+10<br>スタミナⅡ…HP+40<br>ラッキーライズⅠ…アイテムドロップ率+5%<br><br>※この他にも様々な特殊能力があります。<br> """
text102#1,"""特殊能力追加に必要なのは、以下の２種類です。<br>\u3000・メセタ<br>\u3000・素材（武器またはユニット）<br><br>素材の特殊能力から好みのものを追加できます。<br>素材となる装備品は、元の装備品と同数の特殊能力が<br>必要ですが、例外的に元の特殊能力数がゼロの場合、<br>素材の特殊能力数は特に問われません。"""
text103#1,"""特殊能力は、数やレベルによって、継承される確率が変わります。<br>自分だけの特別なアイテムを作り上げましょう。"""
