Title#0,"""Investigate Dragorii Ecology"""
Explanation#0,"""ดาว Amduskia คือบ้านเกิดของ Dragorii ที่ทรงพลัง<br>แต่ไม่นานมานี้ก็สังเกตได้ว่ามันมีข้อมูลประหลาดๆ<br><br>เราต้องไปสำรวจถ้ำในภูเขาไฟที่ Cauldron<br><br>----------------------------------------<br>ผ่านโดยการได้ 100 quest point<br>คะแนนได้จากการกำจัด Dragorii"""
Title#1,"""龍族生態調査"""
Explanation#1,"""惑星アムドゥスキアは、屈強な龍族の<br>居住する惑星だが、昨今の観測データに<br>不穏な値が確認されている。<br><br>火山洞窟内の調査を依頼する。<br><br><br>――――――――――――――――――――<br>クエストポイント【100】達成でクリア<br>主に龍族の撃破でポイント獲得"""
SimpleExplanation#0,"""กำจัด Dragorii เพื่อเก็บคะแนน!"""
SimpleExplanation#1,"""龍族を撃退し<br>クエストポイントをためろ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
