IncidentName#0,"""ニャウと勝負せよ！"""
TrialBeginMsg#0,"""ニャウに勝て！"""
TrialAbstract#0,"""$(0)に勝て！"""
NpcComOnBegin#0,"""ニャウの出現を確認しました。<br>面倒かと思われますが、各員<br>適切な対処をお願いします。"""
NpcComOnSuccess#0,"""ニャウ、ようやく撤退するようです。<br>対応、感謝します。"""
NpcComOnBegin_Other#0,"""ニャウの出現を確認しました。<br>面倒かと思われますが、各員<br>適切な対処をお願いします。"""
NpcComOnSuccess_Other#0,"""ニャウ、ようやく撤退するようです。<br>対応、感謝します。"""
NpcComOnBegin_Darker#0,"""ニャウの出現を確認しました。<br>面倒かと思われますが、各員<br>適切な対処をお願いします。"""
NpcComOnSuccess_Darker#0,"""ニャウ、ようやく撤退するようです。<br>対応、感謝します。"""
NpcComOnBegin#1,"""やれやれ、面倒なのが出てきたな。<br>言ってもきかんヤツだ、各員、適切に<br>対処して、力の差を見せつけてやれ。"""
NpcComOnSuccess#1,"""逃げていったようだな。<br>これで懲りてくれればいいのだが……<br>まあ、いい。よくやってくれた。"""
NpcComOnBegin_Other#1,"""やれやれ、面倒なのが出てきたな。<br>言ってもきかんヤツだ、各員、適切に<br>対処して、力の差を見せつけてやれ。"""
NpcComOnSuccess_Other#1,"""逃げていったようだな。<br>これで懲りてくれればいいのだが……<br>まあ、いい。よくやってくれた。"""
NpcComOnBegin_Darker#1,"""やれやれ、面倒なのが出てきたな。<br>言ってもきかんヤツだ、各員、適切に<br>対処して、力の差を見せつけてやれ。"""
NpcComOnSuccess_Darker#1,"""逃げていったようだな。<br>これで懲りてくれればいいのだが……<br>まあ、いい。よくやってくれた。"""
NpcComOnBegin#2,"""わわっ、ニャウが出てきましたよ！<br>とにかく勝負好きの子ですから<br>ささっと相手してあげてください！"""
NpcComOnSuccess#2,"""ニャウ、撤退しましたー。<br>でも、負けず嫌いな子ですから<br>今後も時々現れると思いますよー。"""
NpcComOnBegin_Other#2,"""わわっ、ニャウが出てきましたよ！<br>とにかく勝負好きの子ですから<br>ささっと相手してあげてください！"""
NpcComOnSuccess_Other#2,"""ニャウ、撤退しましたー。<br>でも、負けず嫌いな子ですから<br>今後も時々現れると思いますよー。"""
NpcComOnBegin_Darker#2,"""わわっ、ニャウが出てきましたよ！<br>とにかく勝負好きの子ですから<br>ささっと相手してあげてください！"""
NpcComOnSuccess_Darker#2,"""ニャウ、撤退しましたー。<br>でも、負けず嫌いな子ですから<br>今後も時々現れると思いますよー。"""
NpcComOnBegin#3,"""ニャウ、という生命体の出現を確認。<br>勝負にこだわる特性を持つとのこと。<br>適切に対応してください。"""
NpcComOnSuccess#3,"""ニャウ、撤退しました。<br>今後もたびたび現れるでしょうが<br>同様の対応で問題ありません。"""
NpcComOnBegin_Other#3,"""ニャウ、という生命体の出現を確認。<br>勝負にこだわる特性を持つとのこと。<br>適切に対応してください。"""
NpcComOnSuccess_Other#3,"""ニャウ、撤退しました。<br>今後もたびたび現れるでしょうが<br>同様の対応で問題ありません。"""
NpcComOnBegin_Darker#3,"""ニャウ、という生命体の出現を確認。<br>勝負にこだわる特性を持つとのこと。<br>適切に対応してください。"""
NpcComOnSuccess_Darker#3,"""ニャウ、撤退しました。<br>今後もたびたび現れるでしょうが<br>同様の対応で問題ありません。"""
NpcComOnBegin#4,"""ニャウの出現を確認！<br>皆さんと勝負したいようなので<br>軽くあしらってあげてください！"""
NpcComOnSuccess#4,"""ニャウは逃げたようです。<br>今後も現れると思いますが<br>その時もあしらってあげましょうね。"""
NpcComOnBegin_Other#4,"""ニャウの出現を確認！<br>皆さんと勝負したいようなので<br>軽くあしらってあげてください！"""
NpcComOnSuccess_Other#4,"""ニャウは逃げたようです。<br>今後も現れると思いますが<br>その時もあしらってあげましょうね。"""
NpcComOnBegin_Darker#4,"""ニャウの出現を確認！<br>皆さんと勝負したいようなので<br>軽くあしらってあげてください！"""
NpcComOnSuccess_Darker#4,"""ニャウは逃げたようです。<br>今後も現れると思いますが<br>その時もあしらってあげましょうね。"""
