un_010090_0010#0,"""うーっす<br><%me>。<br>元気にやってるかー。"""
un_010090_0020#0,"""元気ならちょっくら<br>エコー引き取ってくれー。"""
un_010090_0030#0,"""ちょ、ちょっと、ゼノ！<br>いきなり何言ってんのよ！<br>わたしも一緒に行くんだからね！"""
un_010090_0040#0,"""……お前さっき「行きたくない！」って<br>言ってたところじゃねえかよ。<br>分単位で発言覆すなよな……"""
un_010090_0050#0,"""なるべく行きたくないって意味よ！<br>ゼノがどうしても行くっていうのなら<br>……仕方がないでしょ。"""
un_010090_0060#0,"""いやだから<br>無理してついてこなくても<br>しばらく待っててくれれば……"""
un_010090_0070#0,"""ダメ！\u3000一緒に行くの！<br>そうしないと、どれだけ無茶するか<br>わからないんだから！"""
un_010090_0080#0,"""……へーいへい。"""
un_010090_0090#0,"""<%me><br>スマンな、なんかそういうことらしい。"""
un_010090_0100#0,"""見栄はってんだかなんだか知らんが<br>面倒くせえなぁ……<br>本気でお前さんに押しつけたいぜ。"""
un_010090_0110#0,"""ほら、ゼノ、行くわよ！<br>あんまりその子に<br>迷惑かけちゃダメ！"""
un_010090_0120#0,"""……どの口が言うんだか。"""
